col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
6. 신재생에너지 전력시장 참여 설비용량,,,,,,,,,
Market-Registered Renewable Generation Capacity,,,,,,,,,
구분,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,[단위 : MW]
연료전지,Fuel Cell,215.0,252.0,345.0,480.0,624.0,769.0,872.0,[Unit : MW]
IGCC,IGCC,381.0,346.0,346.0,346.0,346.0,346.0,346.0,
태양광,Photovoltaic,1599.0,2043.0,2626.0,3412.0,4643.0,5827.0,6946.0,
풍력,Wind,1048.0,1234.0,1423.0,1562.0,1681.0,1727.0,1934.0,
수력,Hydro,1782.0,1785.0,1786.0,1792.0,1795.0,1811.0,1803.0,
해양에너지,Marine,255.0,255.0,255.0,256.0,256.0,256.0,256.0,
바이오에너지,Bio,353.0,530.0,531.0,890.0,1351.0,1434.0,1787.0,
폐기물에너지,Waste,3191.0,3250.0,3276.0,,,,,
합계,Total,8824.0,9694.0,10588.0,8738.0,10696.0,12170.0,13944.0,
7. 신재생에너지 전력거래량,,,,,,,,,
Renewable Energy Trading Volume,,,,,,,,,
구분,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,[단위 : GWh]
연료전지,Fuel Cell,1121.0,1444.0,1726.0,2228.0,3431.0,4663.0,5269.0,[Unit : GWh]
IGCC,IGCC,298.0,962.0,1285.0,781.0,1836.0,1678.0,1506.0,
태양광,Photovoltaic,1807.0,2462.0,3064.0,3850.0,5080.0,6390.0,8361.0,
풍력,Wind,1674.0,2162.0,2456.0,2672.0,3134.0,3166.0,3356.0,
수력,Hydro,2757.0,2773.0,3327.0,2739.0,3811.0,2996.0,3488.0,
해양에너지,Marine,495.0,489.0,485.0,474.0,457.0,455.0,424.0,
바이오에너지,Bio,1442.0,2347.0,2787.0,4140.0,4652.0,6445.0,8947.0,
폐기물에너지,Waste,9776.0,9967.0,10477.0,7708.0,,,,
합계,Total,19369.0,22604.0,25607.0,24592.0,22400.0,25793.0,31350.0,
8. 신재생에너지 전력거래금액,,,,,,,,,
Renewable Energy Payment in Power Market,,,,,,,,,
구분,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,[단위 : 억원]
연료전지,Fuel Cell,856.0,1159.0,1629.0,1983.0,2267.0,4397.0,9735.0,[Unit : 100 Million Won]
IGCC,IGCC,227.0,770.0,1219.0,638.0,1252.0,1580.0,2904.0,
태양광,Photovoltaic,1388.0,2072.0,3001.0,3611.0,3572.0,5966.0,15984.0,
풍력,Wind,1386.0,1971.0,2598.0,2766.0,2285.0,3143.0,6426.0,
수력,Hydro,2321.0,2598.0,3549.0,2845.0,3023.0,3126.0,7206.0,
해양에너지,Marine,375.0,390.0,453.0,421.0,307.0,421.0,783.0,
바이오에너지,Bio,1099.0,1884.0,2629.0,5031.0,5276.0,8814.0,20877.0,
폐기물에너지,Waste,9403.0,9616.0,10173.0,7290.0,,,,
합계,Total,17056.0,20461.0,25251.0,24585.0,17983.0,27448.0,63915.0,
"1) RPS의무이행비용, 배출권거래비용정산금 및 예측제도정산금을 제외한 금액임",,,,,,,,,
9. 신재생에너지 정산단가,,,,,,,,,
Unit Price of Renewable Energy,,,,,,,,,
구분,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,[단위 : 원/kWh]
연료전지,Fuel Cell,76.42,80.29,94.42,89.0,66.07,94.3,184.76,[Unit : Won/kWh]
IGCC,IGCC,76.11,80.07,94.86,81.74,68.19,94.16,192.83,
태양광,Photovoltaic,76.81,84.17,97.93,93.81,70.31,93.36,191.17,
풍력,Wind,82.8,91.19,105.77,103.49,72.91,99.27,191.48,
수력,Hydro,84.19,93.7,106.67,103.85,79.32,104.34,206.59,
해양에너지,Marine,75.69,79.75,93.35,88.67,67.18,92.53,184.67,
바이오에너지,Bio,76.26,80.28,94.34,121.52,113.41,136.76,233.34,
폐기물에너지,Waste,96.19,96.48,97.1,94.58,,,,
평균,Average,88.06,90.52,98.61,99.97,80.28,106.42,203.88,
"1) 정산단가 산정 시 RPS의무이행비용, 배출권거래비용정산금 및 예측제도정산금은 거래금액에서 제외",,,,,,,,,
