col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
1. 2022년 전력시장 종합 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of Power Market Statistic in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1. 월간 전력거래량 및 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume and Payment in Power Market by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"[단위 : GWh, 억원]",,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total,"[Unit : GWh, 100 Million Won]",,,,,,,,,,,,
전력거래량(GWh),Electric Power Trading Volume(GWh),51353,45117,46268,41278,42060,43976,50986,50165,42669,42102,43084,52316,551374,,,,,,,,,,,,,
전력거래금액(억원),Electric Power Payment of Settlement by Month(100 Million Won),70709,71813,70913,65773,53823,50968,83906,89570,78304,76942,77926,93929,884576,,,,,,,,,,,,,
1-2. 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-1. 월간 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계(가중평균),"[단위 : MWh, 원/kWh]",,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total(Weighted Average),"[Unit : MWh, Won/kWh]",,,,,,,,,,,,
통합SMP(원/kWh),Total SMP(Won/kWh),154.42,197.32,192.75,202.11,140.34,129.72,151.85,197.74,233.42,251.65,242.19,267.63,196.65,,,,,,,,,,,,,
육지SMP(원/kWh),Main Land SMP(Won/kWh),153.82,196.93,192.34,201.58,139.06,128.84,150.6,196.02,233.37,251.61,242.17,267.55,196.04,,,,,,,,,,,,,
제주SMP(원/kWh),Jeju SMP(Won/kWh)),206.86,229.85,229.05,250.33,263.73,214.32,261.31,340.91,238.44,255.03,243.97,275.15,252.21,,,,,,,,,,,,,
1-2-2. 시간대별 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price by Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계(가중평균),"[단위 : MWh, 원/kWh]"
,,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total(Weighted Average),"[Unit : MWh, Won/kWh]"
통합SMP(원/kWh),Total SMP(Won/kWh),194.34,183.53,174.19,170.64,172.28,179.51,187.22,198.47,205.31,205.41,204.76,202.06,195.75,200.62,204.01,206.74,210.79,212.5,212.75,211.45,208.25,205.12,201.95,201.47,196.65,
육지SMP(원/kWh),Main Land SMP(Won/kWh),191.46,180.84,171.66,168.2,169.83,176.98,184.64,195.85,202.78,202.95,202.44,199.85,193.6,198.4,201.75,204.27,207.95,209.29,209.23,207.65,204.53,201.55,198.5,198.29,196.04,
제주SMP(원/kWh),Jeju SMP(Won/kWh)),246.35,233.88,223.21,217.19,219.32,225.71,230.01,238.89,241.14,239.25,229.81,221.71,213.76,223.85,227.11,243.85,269.33,283.36,296.19,310.32,301.88,291.51,284.56,268.65,252.21,
1-2-3. 요일별 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price by Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,월요일,화요일,수요일,목요일,금요일,토요일,일요일,합계(가중평균),"[단위 : MWh, 원/kWh]",,,,,,,,,,,,,,,,,
,,Monday,Tuesday,Wednseday,Thursday,Friday,Saturday,Sunday,Total(Weighted Average),"[Unit : MWh, Won/kWh]",,,,,,,,,,,,,,,,,
통합SMP(원/kWh),Total SMP(Won/kWh),194.47,201.11,201.15,204.41,204.18,193.19,173.84,196.65,,,,,,,,,,,,,,,,,,
육지SMP(원/kWh),Main Land SMP(Won/kWh),193.84,200.52,200.52,203.85,203.57,192.57,173.13,196.04,,,,,,,,,,,,,,,,,,
제주SMP(원/kWh),Jeju SMP(Won/kWh)),252.01,256.31,260.33,256.73,260.48,246.5,232.01,252.21,,,,,,,,,,,,,,,,,,
1-2-4. 평휴일별 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
"System Marginal Price by Weekday, Weekend and Holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,평일,휴일,공휴일,합계(가중평균),"[단위 : MWh, 원/kWh]",,,,,,,,,,,,,,,,,,,,,
,,Weekday,Weekend,Holiday,Total(Weighted Average),"[Unit : MWh, Won/kWh]",,,,,,,,,,,,,,,,,,,,,
통합SMP(원/kWh),Total SMP(Won/kWh),202.45,182.47,172.87,196.65,,,,,,,,,,,,,,,,,,,,,,
육지SMP(원/kWh),Main Land SMP(Won/kWh),201.85,181.81,172.25,196.04,,,,,,,,,,,,,,,,,,,,,,
제주SMP(원/kWh),Jeju SMP(Won/kWh)),258.56,238.26,224.3,252.21,,,,,,,,,,,,,,,,,,,,,,
"1) 평일은 토요일, 일요일, 법정공휴일 및 임시공휴일을 제외한 날을 의미함",,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 휴일은 토요일 및 일요일을 의미함(해당 요일의 법정공휴일 및 임시공휴일 포함),,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 공휴일은 법정공휴일 및 임시공휴일을 의미함,,,,,,,,,,,,,,,,,,,,,,,,,,,
