col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
1. 회원 통계,,,,,,,,,
Statistics of Member,,,,,,,,,
1-1. 전력시장 회원 및 설비용량,,,,,,,,,
구분,,,회원수(개),,,설비용량(MW),,,"[단위 : 개, MW]"
,,,2022년,2023년,증감,2022년,2023년,증감,
판매사업자,,,1,1,0,0,0,0,
"발전
사업자",한전 자회사,,6,6,0,82674,84602,1928,
,일반 발전사,,24,21,-3,24780,26392,1612,
,"신재생에너지
발전사",태양광,5152,6013,861,6705,8077,1372,
,,수력,19,21,2,104,27,-77,
,,풍력,75,80,5,1686,1938,252,
,,바이오,37,40,3,352,387,35,
,,연료전지,19,28,9,308,465,157,
,,폐기물,0,0,0,0,0,0,
,,해양에너지,2,2,0,2,2,0,
,,(소계),5304,6184,880,9157,10896,1739,
,폐기물,,42,45,3,213,266,53,
,기타 발전사,,3,5,2,19,23,4,
,집단에너지사업자,,30,30,0,7935,8954,1019,
,(발전사업자 소계),,5409,6291,882,124778,131133,6355,
자가용설비설치자 ,,,25,27,2,4920,5340,420,
구역전기사업자,,,9,9,0,963,1028,65,
(정회원 소계),,,5444,6328,884,130661,137501,6840,
준회원,,,1,5,4,0,0,0,
합계,,,5445,6333,888,130661,137501,6840,
1) 각 연도의 말일을 기준으로 작성함,,,,,,,,,
1-2. 수요관리사업자 및 소규모중개사업자,,,,,,,,,
구분,,2022년,2023년,증감,[단위 : 개],,,,
수요관리사업자,정회원,29,37,8,,,,,
,준회원,54,52,-2,,,,,
,합계,83,89,6,,,,,
소규모중개사업자,정회원,29,41,12,,,,,
,준회원,44,1,-43,,,,,
,합계,73,42,-31,,,,,
