col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
4. 2025년 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) in 2025,,,,,,,,,,,,,,,
4-2. 시간대별 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price) by Hour,,,,,,,,,,,,,,,
4-2-1. 시간대별 통합SMP,,,,,,,,,,,,,,,
Total System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
19시,19 Hour,127.39,124.48,122.96,130.5,134.81,125.65,129.59,126.69,130.25,115.79,105.46,101.06,122.99,
20시,20 Hour,125.71,121.81,122.19,132.5,134.48,126.14,131.58,126.91,130.51,114.44,102.73,103.38,122.93,
21시,21 Hour,120.89,118.83,119.26,130.15,134.16,124.64,126.47,123.98,126.79,109.61,99.26,97.38,119.49,
22시,22 Hour,115.66,113.82,115.99,127.6,131.31,120.78,122.47,120.01,121.81,105.83,96.44,87.88,115.1,
23시,23 Hour,112.85,113.32,116.38,126.21,128.86,115.55,120.8,120.68,115.84,104.37,94.72,90.64,113.43,
24시,24 Hour,111.02,111.58,114.54,124.28,124.47,108.99,118.16,118.55,105.92,100.58,94.1,87.8,110.06,
가중평균,Weighted Average,117.11,116.39,113.12,124.63,125.5,118.02,120.39,117.39,112.9,101.53,94.8,90.43,112.73,
4-2-3. 시간대별 제주SMP,,,,,,,,,,,,,,,
Jeju System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,105.2,109.56,112.92,117.64,125.01,107.57,116.33,117.84,95.48,91.78,93.97,80.26,106.42,
2시,2 Hour,96.2,97.33,97.01,100.49,109.06,101.09,104.35,104.28,78.35,79.85,79.1,77.95,94.07,
3시,3 Hour,97.02,94.99,94.27,95.99,102.05,96.37,98.37,101.37,77.31,75.7,76.88,72.97,90.69,
4시,4 Hour,95.35,86.27,92.59,95.83,96.95,93.44,93.4,95.17,77.34,74.72,76.43,72.38,87.81,
5시,5 Hour,96.1,87.47,97.42,100.06,99.53,94.23,92.91,92.81,77.22,75,76.62,72.87,88.85,
6시,6 Hour,98.15,97.57,102.4,116.47,107.53,96.78,95.99,93.04,78.32,81.47,79.99,73.35,93.72,
7시,7 Hour,104.76,104.83,109.56,122.52,114.62,101.73,106.02,103.37,83.77,88.81,90.02,76.47,100.74,
8시,8 Hour,119.03,122.72,116.39,128.67,120.35,108.17,112.93,114.7,101.19,97.36,98.14,92.49,111.27,
9시,9 Hour,128.56,130.09,119.51,132.72,127.7,118.22,120.2,116.88,111.52,102.24,105.71,101.73,117.98,
10시,10 Hour,137.37,137.33,123.02,134.26,130.84,126.25,122.11,120.48,128.02,108.93,103.74,105.08,123.3,
11시,11 Hour,136.2,139.93,105.94,135.23,122.87,133.55,125.02,123.03,129.79,112.05,103.78,99.55,122.66,
12시,12 Hour,127.29,122.54,68.78,95.65,108,129.14,127.2,121.73,129.58,108.4,91.9,95.91,112.5,
13시,13 Hour,115.18,103.08,49.99,65.11,99.26,127.63,124.53,120.92,122.98,95.66,76.74,83.51,101.96,
14시,14 Hour,114.7,97.84,52.75,92.06,111.06,130.78,129.68,123.36,124.71,106.94,97.4,85.5,107.86,
15시,15 Hour,125.56,123.27,70.33,129.33,126.85,133.68,131.55,125.6,126.46,104.75,97.4,91.4,116.67,
16시,16 Hour,122.79,124.27,104.44,137.23,135.17,132.88,136.25,126.02,128.73,115.9,100.68,94.38,122.14,
17시,17 Hour,125.98,127.75,112.3,131.4,132.29,129.07,131.46,125.32,127.44,109.78,102.6,99.28,121.64,
18시,18 Hour,131.24,126.35,122.98,132.14,133.9,130.68,132.39,126.4,127.38,113.09,106.43,103.31,124.09,
19시,19 Hour,133.8,127.48,128.21,131.76,135.79,133.57,131.42,129.01,131.66,117.02,110.8,106.57,126.66,
20시,20 Hour,133.59,124.85,126.34,136.57,137.62,136.74,133.15,129.45,132.97,115.01,108.1,105.15,126.99,
21시,21 Hour,129.94,123.02,128.58,135.06,137.18,134.81,128.77,127.57,128.77,110.34,106.35,100.59,124.57,
22시,22 Hour,122.94,123.05,124.14,132.59,135.86,128.84,125.27,122.52,121.87,106.45,100.84,89.54,119.8,
23시,23 Hour,120.52,118.3,121.43,131.29,133.2,120.42,121.61,120.7,116.78,103.83,95.91,91.41,116.59,
24시,24 Hour,115.35,115.46,118.18,128.48,128.92,110.19,118.1,118.54,106.03,100.04,96.9,90.41,112.51,
가중평균,Weighted Average,118.9,116.05,105.57,120.24,122.32,120.62,121.13,118.46,114.06,101.17,95.82,91.03,112.49,
1) 제주SMP는 하루전에너지가격(하루전SMP)을 의미함,,,,,,,,,,,,,,,
