col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027
5. 2022년 지역별 신재생에너지 전력거래 내역,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics of Renewable Energy Trade by Region in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1. 연간 지역별 신재생에너지 전력거래 내역,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Statistics of Renewable Energy Trade by Region,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,,,,서울,인천,대전,광주,대구,세종,울산,부산,전국,"[단위 : MW, MWh, 백만원]"
,,,,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,,,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,"[Unit : MW, MWh, One Million Won]"
"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-registered Generation Capacity
(MW)",연료전지,Fuel Cell,259,34,4,2,50,20,64,40,0,"전력시장 참여
설비용량
(PPA제외)
(MW)","Market-registered Generation Capacity
(MW)",연료전지,Fuel Cell,68,227,7,21,1,5,28,42,872,
,,IGCC,IGCC,0,0,0,0,0,0,346,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,346,
,,태양광,Photovoltaic,313,586,457,695,2204,790,831,337,368,,,태양광,Photovoltaic,17,48,15,65,56,28,37,100,6946,
,,풍력,Wind,5,522,86,467,425,80,2,0,295,,,풍력,Wind,0,49,0,0,0,0,2,1,1934,
,,수력,Hydro,276,518,145,178,36,80,31,518,1,,,수력,Hydro,0,13,0,2,4,2,0,0,1803,
,,해양에너지,Marine,254,0,0,0,1,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,256,
,,바이오가스,Biogas,9,31,2,1,0,17,3,1,3,,,바이오가스,Biogas,6,7,0,0,5,0,0,1,85,
,,매립가스,LFG,0,0,2,2,2,1,0,1,1,,,매립가스,LFG,0,50,0,2,0,0,0,3,64,
,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,390,
,,바이오매스,Biomass,50,328,10,0,0,459,369,0,3,,,바이오매스,Biomass,1,21,0,0,0,5,0,2,1248,
,,합계,Total,1166,2019,705,1346,2718,1447,1645,897,1061,,,합계,Total,92,415,22,90,65,41,66,149,13944,
"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,1514726,272405,22868,22607,285572,99913,485834,205222,0,"전력거래량
(PPA제외)
(MWh)","Electric Energy Trading Volume
(MWh)",연료전지,Fuel Cell,323200,1332363,58420,57976,7587,40324,214982,324708,5268707,
,,IGCC,IGCC,0,0,0,0,0,0,1505741,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,1505741,
,,태양광,Photovoltaic,359299,683950,547409,847400,2664570,1035436,1004907,377830,410546,,,태양광,Photovoltaic,20288,59387,16822,77537,64552,32375,50209,108667,8361182,
,,풍력,Wind,4415,952371,131769,912893,582492,161631,2021,0,569328,,,풍력,Wind,0,38510,0,0,0,0,232,0,3355662,
