col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,,"[Unit : 100 Million Won, %]",,,,,,,,,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,,,,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,,,,,,,,
2001,32430,34.1,11181,11.8,10167,10.7,14654,15.4,12955,13.6,13730,14.4,-,-,95117,,,,,,,,,,,,
2002,45987,34.8,14391,10.9,15881,12,20000,15.1,17724,13.4,18351,13.9,-,-,132334,39.1,,,,,,,,,,,
2003,50274,34.5,14462,9.9,17708,12.2,21114,14.5,20245,13.9,18564,12.7,3257,2.2,145623,10,,,,,,,,,,,
2004,50364,32.2,16445,10.5,18853,12.1,20370,13,27130,17.3,20048,12.8,3211,2.1,156422,7.4,,,,,,,,,,,
2005,55830,32.3,19977,11.6,22181,12.8,22023,12.8,28130,16.3,21151,12.3,3335,1.9,172626,10.4,,,,,,,,,,,
2006,55172,29.2,19633,10.4,24690,13.1,24046,12.7,32857,17.4,25013,13.2,7714,4.1,189125,9.6,,,,,,,,,,,
2007,55053,26,21402,10.1,27930,13.2,30880,14.6,37212,17.6,28615,13.5,10481,5,211572,11.9,,,,,,,,,,,
2008,57956,21.6,30968,11.6,35926,13.4,36715,13.7,46298,17.3,38748,14.5,21388,8,267999,26.7,,,,,,,,,,,
2009,51457,19.1,37188,13.8,37032,13.8,37949,14.1,46077,17.1,38165,14.2,21249,7.9,269118,0.4,,,,,,,,,,,
2010,58700,18.2,40955,12.7,47642,14.8,47386,14.7,51639,16,44352,13.8,31568,9.8,322243,19.7,,,,,,,,,,,
2011,65227,17.7,43083,11.7,49948,13.6,51864,14.1,58978,16,46976,12.8,51708,14.1,367784,14.1,,,,,,,,,,,
2012,66920,15.7,45310,10.7,54117,12.7,59350,14,69362,16.3,58345,13.7,71993,16.9,425397,15.7,,,,,,,,,,,
2013,62612,14.9,39937,9.5,56402,13.4,57307,13.6,71123,16.9,52641,12.5,81077,19.3,421099,-1,,,,,,,,,,,
2014,92251,20.8,44168,10,49832,11.2,48833,11,62692,14.1,44867,10.1,101076,22.8,443719,5.4,,,,,,,,,,,
2015,104959,25.2,49309,11.8,38795,9.3,42036,10.1,43513,10.5,40665,9.8,97043,23.3,416320,-6.2,,,,,,,,,,,
2016,111435,26.7,50485,12.1,37327,8.9,43229,10.4,43525,10.4,43178,10.4,87897,21.1,417076,0.2,,,,,,,,,,,
2017,92911,20.8,54033,12.1,46860,10.5,43535,9.7,45483,10.2,46272,10.3,118618,26.5,447712,7.3,,,,,,,,,,,
2018,88899,17.5,57975,11.4,43552,8.6,50214,9.9,57021,11.2,51580,10.2,157786,31.1,507027,13.2,,,,,,,,,,,
2019,88985,17.8,57223,11.5,47864,9.6,47033,9.4,51853,10.4,49240,9.9,157521,31.5,499718,-1.4,,,,,,,,,,,
2020,99454,22.8,42747,9.8,43717,10,37058,8.5,42074,9.7,42295,9.7,128579,29.5,435925,-12.8,,,,,,,,,,,
2021,95582,17.4,52799,9.6,56132,10.2,52368,9.5,59791,10.9,51293,9.3,182762,33.2,550727,26.3,,,,,,,,,,,
2022,106300,12,76325,8.6,90000,10.2,83937,9.5,95167,10.8,72315,8.2,360531,40.8,884575,60.6,,,,,,,,,,,
2022.1,10879,15.4,5952,8.4,7538,10.7,6312,8.9,7088,10,5322,7.5,27618,39.1,70709,49.5,,,,,,,,,,,
2,10355,14.4,5454,7.6,6939,9.7,6263,8.7,7370,10.3,4371,6.1,31059,43.3,71813,82.7,,,,,,,,,,,
3,9359,13.2,4305,6.1,7042,9.9,5958,8.4,7015,9.9,4138,5.8,33096,46.7,70913,74.4,,,,,,,,,,,
4,7763,11.8,5785,8.8,4889,7.4,5305,8.1,6709,10.2,5112,7.8,30210,45.9,65773,96.8,,,,,,,,,,,
5,6464,12,7502,13.9,5541,10.3,3877,7.2,6009,11.2,3980,7.4,20449,38,53823,31.8,,,,,,,,,,,
6,6314,12.4,4257,8.4,4918,9.6,4840,9.5,6345,12.4,6230,12.2,18063,35.4,50968,28.9,,,,,,,,,,,
7,10443,12.4,8330,9.9,9931,11.8,8066,9.6,11451,13.6,8148,9.7,27536,32.8,83906,36.1,,,,,,,,,,,
8,11450,12.8,7727,8.6,9579,10.7,8353,9.3,10409,11.6,7430,8.3,34622,38.7,89570,80.1,,,,,,,,,,,
9,8226,10.5,6979,8.9,8158,10.4,7011,9,7914,10.1,6297,8,33717,43.1,78304,101.3,,,,,,,,,,,
10,8234,10.7,6937,9,6670,8.7,8315,10.8,7498,9.7,6749,8.8,32538,42.3,76942,81.9,,,,,,,,,,,
11,7996,10.3,5843,7.5,8671,11.1,9285,11.9,6350,8.1,6926,8.9,32856,42.2,77926,55.2,,,,,,,,,,,
12,8818,9.4,7254,7.7,10123,10.8,10351,11,11006,11.7,7611,8.1,38766,41.3,93929,40.4,,,,,,,,,,,
4-3. 연료원별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
