col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
4. 2023년 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energe Market Price) in 2023,,,,,,,,,,,,,,,
4-2. 시간대별 계통한계가격,,,,,,,,,,,,,,,
System Marginal Price(Energe Market Price) by Hour,,,,,,,,,,,,,,,
4-2-1. 시간대별 통합SMP,,,,,,,,,,,,,,,
Total System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,230.58,256.3,225.57,164.71,126.2,140.02,137.82,137.31,134.92,111.68,106.67,118.55,158.79,
2시,2 Hour,217.64,240.42,198.98,149.82,120.54,126.76,123.88,119.49,112.22,109.01,93.63,110.42,144.79,
3시,3 Hour,208.64,235.04,170.04,138.55,118.91,122.54,119.53,112.43,108.34,106.58,90.09,108.35,137.74,
4시,4 Hour,206.7,233.73,153.73,136.35,118.59,120.49,117.12,108.92,106.97,105.95,87.44,107.58,134.78,
5시,5 Hour,207.62,231.77,167.34,138.11,118.84,121.62,115.48,108.16,106.8,106.13,88.56,107.85,136.09,
6시,6 Hour,211.79,236.86,196.77,149.9,119.99,121.71,118.34,111.19,110.63,108.67,94.83,110.11,142.26,
7시,7 Hour,222.83,244.49,223.27,165.49,122.97,126.04,119.62,115.21,112.14,110.7,105.19,113.33,149.95,
8시,8 Hour,236.81,257.1,232.46,165.32,128.83,132.74,137.31,134.09,134.77,133.61,117.17,123.16,162.75,
9시,9 Hour,256.06,270.03,227.98,167.39,148.03,146.17,154.47,151.71,144.96,148.16,133.7,144.5,176.34,
10시,10 Hour,257.41,267.21,230.84,170.94,146.97,153.9,162.81,158.22,147.76,152.04,144.65,154.14,180.5,
11시,11 Hour,257.82,264.72,228.34,170.64,154.66,156.34,168.21,162.89,153.41,151.27,138.61,143.91,180.38,
12시,12 Hour,254.34,256.66,221.71,167.75,151.96,157.52,168.68,163.6,154.29,147.44,132.36,141.93,177.42,
13시,13 Hour,244.1,248.77,196.64,158.67,141.67,153.16,165.45,159.57,151.43,142.56,124.31,136.04,169.35,
14시,14 Hour,246.69,248.12,203.21,163.94,149.75,159.56,169.92,161.33,154.52,146.83,129.36,139.93,173.25,
15시,15 Hour,248.92,252.52,203.43,165.73,158.55,160.87,172.29,166.25,159.29,149.1,132.4,142.19,176.38,
16시,16 Hour,248.96,255.24,206.73,168.32,157.73,161.26,171.4,164.81,160.02,153.43,134.95,148.66,177.98,
17시,17 Hour,253.71,264.67,217.4,170.4,155.96,159.7,168.99,160.11,153.95,153.65,136.83,142.59,178.41,
18시,18 Hour,256.94,265.27,228.1,174.65,157.62,156.28,169.48,159.27,153.13,156.39,136.74,141.85,179.85,
19시,19 Hour,259.79,266.55,240.18,178.53,156.92,156.86,167.73,160.61,152.76,156.74,137.27,140.89,181.41,
20시,20 Hour,253.01,260.93,240.58,180.5,162,158.62,167.35,158.1,153.49,155.67,131.6,136.98,179.9,
21시,21 Hour,246.81,255.47,236.68,175.97,158.06,157.18,163.72,156.21,149.78,150.9,124.62,133.12,175.75,
22시,22 Hour,241.94,251.47,233.53,173.21,154.3,153.76,162.84,153.46,148.02,148.59,120.15,126.34,172.5,
23시,23 Hour,241.53,253.07,233.97,173.29,149.23,150.99,160.31,149.63,145.01,134.92,117.14,125.24,170.12,
24시,24 Hour,241.77,253.31,235.6,172.77,144.72,147.51,146.29,146.07,141.1,121.49,114.98,125.47,166.92,
가중평균,Weighted Average,240.81,253.56,215.9,164.86,143.64,147.13,153.52,147.22,141.19,137.01,120.85,131.12,167.11,
4-2-2. 시간대별 육지SMP,,,,,,,,,,,,,,,
Main Land System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,230.51,256.16,225.54,164.72,126.2,140.03,137.71,136.98,134.63,111.3,106.68,118.43,158.64,
2시,2 Hour,217.6,240.23,198.98,149.82,120.55,126.76,123.78,119.19,112.17,108.61,93.63,110.4,144.67,
3시,3 Hour,208.61,234.88,170.04,138.55,118.92,122.54,119.46,112.3,108.27,106.25,90.09,108.35,137.65,
4시,4 Hour,206.67,233.58,153.72,136.35,118.59,120.49,117.12,108.85,106.97,105.68,87.45,107.58,134.72,
5시,5 Hour,207.6,231.61,167.34,138.11,118.84,121.62,115.44,108.09,106.81,105.91,88.56,107.83,136.02,
6시,6 Hour,211.76,236.71,196.77,149.9,119.99,121.71,118.28,111.04,110.63,108.36,94.83,110.09,142.17,
7시,7 Hour,222.79,244.33,223.22,165.49,122.97,126.05,119.62,114.9,112.02,110.27,105.19,113.32,149.83,
8시,8 Hour,236.68,257.01,232.36,165.33,128.83,132.75,137.25,133.89,134.71,133.37,117.15,123.15,162.66,
9시,9 Hour,256.02,269.98,227.96,167.41,148.05,146.18,154.4,151.32,144.72,148.06,133.69,144.47,176.26,
10시,10 Hour,257.38,267.2,230.87,170.97,146.98,153.91,162.73,158.07,147.53,151.9,144.67,154.17,180.47,
11시,11 Hour,257.82,264.75,228.37,170.66,154.67,156.35,168.13,162.85,153.28,151.13,138.63,143.91,180.37,
12시,12 Hour,254.36,256.65,221.74,167.76,151.97,157.53,168.64,163.59,154.07,147.36,132.37,141.86,177.41,
13시,13 Hour,244.12,248.75,196.66,158.68,141.68,153.16,165.42,159.56,151.37,142.56,124.33,135.96,169.36,
14시,14 Hour,246.71,248.09,203.24,163.95,149.75,159.57,169.91,161.3,154.46,146.75,129.38,139.86,173.25,
15시,15 Hour,248.93,252.51,203.45,165.74,158.56,160.88,172.29,166.22,159.25,148.91,132.42,142.2,176.38,
16시,16 Hour,248.96,255.22,206.75,168.34,157.75,161.27,171.38,164.73,159.96,153.29,134.96,148.65,177.96,
17시,17 Hour,253.65,264.68,217.36,170.41,155.97,159.7,168.84,159.89,153.67,153.48,136.83,142.52,178.33,
18시,18 Hour,256.84,265.21,228.04,174.66,157.63,156.25,169.32,158.83,152.67,156.15,136.65,141.64,179.69,
19시,19 Hour,259.61,266.52,240.12,178.53,156.92,156.82,167.4,159.79,151.9,156.13,137.16,140.63,181.12,
20시,20 Hour,252.78,260.86,240.5,180.5,161.96,158.59,166.92,156.81,152.48,155.2,131.56,136.87,179.55,
21시,21 Hour,246.55,255.38,236.59,175.97,158.04,157.14,163.39,155.64,149.42,150.35,124.48,132.86,175.51,
22시,22 Hour,241.71,251.36,233.46,173.21,154.31,153.75,162.52,152.92,147.72,148.16,119.94,126.14,172.28,
23시,23 Hour,241.3,252.91,233.85,173.29,149.24,150.97,160.09,149.11,144.72,134.57,117.11,125.18,169.93,
24시,24 Hour,241.53,253.14,235.51,172.77,144.73,147.51,146.05,145.6,140.76,121.22,114.97,125.46,166.75,
가중평균,Weighted Average,240.73,253.48,215.87,164.87,143.64,147.12,153.39,146.91,140.93,136.73,120.82,131.05,167,
4-2-3. 시간대별 제주SMP,,,,,,,,,,,,,,,
Jeju System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,236.22,267.89,227.2,164.32,125.95,139.53,147.33,164.56,160.41,147.29,106.28,129.38,171.43,
2시,2 Hour,221.21,256.23,199.02,149.25,120.31,126.59,132.51,145.5,116.62,146.53,93.39,112.19,154.87,
3시,3 Hour,211.58,248.36,169.73,138.16,118.73,122.37,125.7,123.7,114.73,138.35,89.85,108.31,145.39,
4시,4 Hour,208.83,246.14,154.06,136.04,118.41,120.34,117.01,114.9,106.68,132.96,87.17,107.52,140.47,
5시,5 Hour,209.48,244.45,167.2,137.81,118.65,121.47,119.1,113.67,106.5,127.04,88.33,109.62,141.77,
6시,6 Hour,214.42,249.65,196.8,149.71,119.8,121.61,123.89,124.53,110.33,139.23,94.54,111.83,149.78,
7시,7 Hour,226.9,257.95,227.3,165.35,122.77,125.93,119.53,142.71,122.76,152.82,104.94,114.88,160.6,
8시,8 Hour,247.55,264.56,240.75,164.5,128.54,131.9,142.59,150.55,140.34,156.65,118.93,123.76,170.95,
9시,9 Hour,259.63,274.47,229.5,165.25,146.63,145.28,160.5,185.55,165.18,157.73,135.1,147.03,183.86,
10시,10 Hour,260.42,267.45,228.05,168.12,146.13,152.65,169.47,170.38,166.47,165.38,142.79,151.43,183.24,
11시,11 Hour,258.46,262.02,225.92,168.87,153.17,155.27,175.01,166.6,164.04,164.94,136.99,143.8,181.02,
12시,12 Hour,252.59,257.64,219.24,166.69,150.7,156.58,171.62,164.83,172.19,154.8,130.65,148.54,178.31,
13시,13 Hour,242.19,251.17,194.61,157.9,140.75,152.5,167.71,160.46,156.15,142.76,122.83,142.64,168.84,
14시,14 Hour,244.29,251.32,200.61,162.9,149.52,158.78,170.54,164.19,159.38,153.93,127.73,145.92,173.2,
15시,15 Hour,248.43,254.16,201.41,164.16,157.38,160.2,172.38,168.8,162.69,166.94,130.91,141.19,176.49,
16시,16 Hour,249.46,257.11,204.51,166.44,156.54,160.88,173.29,171.22,165.03,166.16,133.5,150.17,179.16,
17시,17 Hour,259.18,263.47,220.85,169.42,154.98,159.88,181.36,178.57,177.23,169.93,137.23,148.04,185.57,
18시,18 Hour,265.58,270.8,232.76,174.26,156.7,158.91,182.24,194.32,191,177.51,145.03,159.06,193.82,
19시,19 Hour,274.35,269.04,244.67,178.14,156.52,160.02,194.64,225.28,221.65,210.47,147.25,161.87,206.16,
20시,20 Hour,270.53,265.86,246.41,180.15,165.7,161.42,200.98,258.09,234.43,196.82,135.55,145.98,208.49,
21시,21 Hour,266.84,262.01,243.36,175.79,159.52,160.42,189.58,199.87,178.15,198.98,136.9,153.95,195.83,
22시,22 Hour,260.46,259.92,238.85,173.03,153.7,154.97,187.48,195.23,172.67,186.38,138.43,142.98,190.82,
23시,23 Hour,259.56,265.41,243.54,173.15,148.53,152.22,178.25,190.11,169.24,167.28,119.97,130.16,185.6,
24시,24 Hour,261.83,267.22,243.49,172.64,144.22,147.22,164.85,183.32,170.23,146.72,115.85,126.1,181.6,
가중평균,Weighted Average,247.55,260.27,218.2,163.87,143.07,147.71,164.72,173.17,162.47,163.17,123.37,137.04,176.94,
