col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
2. 신재생에너지 전력거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewable Energy Trading Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,신에너지,,,,재생에너지,,,,,,,,,,,,,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : MWh, %]"
,Advanced Energy,,,,Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Unit : MWh, %]"
,연료전지,,IGCC,,태양에너지,,풍력에너지,,폐기물에너지,,,,,,수력에너지,,해양에너지,,바이오에너지,,,,,,,,,,,,,
,Fuel Cell,,IGCC,,Solar Energy,,Wind Energy,,Waste Energy,,,,,,Hydro Energy,,Marine Energy,,Bio Energy,,,,,,,,,,Total,Rate of Change,,
,(MWh),비율(%),(MWh),비율(%),태양광(MWh),비율(%),풍력(MWh),비율(%),부생가스(MWh),비율(%),폐가스(MWh),비율(%),폐기물(MWh),비율(%),수력(MWh),비율(%),해양에너지(MWh),비율(%),바이오가스(MWh),비율(%),매립가스(MWh),비율(%),바이오중유(MWh),비율(%),바이오매스(MWh),비율(%),바이오SRF,비율(%),(MWh),(%),,
,,Proportion(%),,Proportion(%),Solar(MWh),Proportion(%),Wind(MWh),Proportion(%),Off-Gas(MWh),Proportion(%),Waste Gas(MWh),Proportion(%),Waste(MWh),Proportion(%),Hydro(MWh),Proportion(%),Marine(MWh),Proportion(%),Biogas(MWh),Proportion(%),LFG(MWh),Proportion(%),Bio Heavy Oil(MWh),Proportion(%),Biomass(MWh),Proportion(%),Bio-SRF,Proportion(%),,,,
2023,6093784,18.1,767053,2.3,9685763,28.7,3373126,10,-,-,-,-,-,-,3661114,10.9,437538,1.3,286006,0.8,215747,0.6,1536136,4.6,7655402,22.7,2633,0,33714303,7.6,2023,
2024,7385434,19.4,1574218,4.1,11069026,29.1,3383554,8.9,-,-,-,-,-,-,4244568,11.1,319670,0.8,279117,0.7,177735,0.5,1366698,3.6,7902132,20.8,24140,0.1,38081578,13,2024,
2025,8351028,21,1119301,2.8,12520545,31.5,3646197,9.2,-,-,-,-,-,-,3756980,9.5,3,0,258831,0.7,181986,0.5,1252775,3.2,7691681,19.4,29253,0.1,39696825,4.2,2025,
2025.1,691224,22.1,163555,5.2,735075,23.5,470347,15,-,-,-,-,-,-,219732,7,0,0,26899,0.9,16693,0.5,119640,3.8,685757,21.9,1421,0,3130342,6.4,2025.1,
2,632741,19.5,153541,4.7,945872,29.1,556478,17.1,-,-,-,-,-,-,189755,5.8,0,0,23920,0.7,13064,0.4,106170,3.3,625253,19.2,1296,0,3248090,20.6,2,
3,695053,21.6,38949,1.2,1123149,34.8,420291,13,-,-,-,-,-,-,197899,6.1,0,0,27675,0.9,17884,0.6,105811,3.3,595659,18.5,812,0,3223181,-5.2,3,
4,673985,20.1,0,0,1348319,40.1,372679,11.1,-,-,-,-,-,-,242458,7.2,0,0,16032,0.5,18889,0.6,87501,2.6,600497,17.9,1026,0,3361386,2.3,4,
5,706689,19.9,49128,1.4,1215217,34.2,331371,9.3,-,-,-,-,-,-,426262,12,0,0,24092,0.7,10969,0.3,96328,2.7,695265,19.5,2239,0.1,3557562,1.5,5,
6,692601,20.3,98993,2.9,1241905,36.4,255296,7.5,-,-,-,-,-,-,433871,12.7,0,0,26268,0.8,14764,0.4,54172,1.6,593224,17.4,2908,0.1,3414003,3.8,6,
7,707962,20.1,116998,3.3,1356351,38.5,259537,7.4,-,-,-,-,-,-,289070,8.2,0,0,27244,0.8,18533,0.5,87607,2.5,650977,18.5,4861,0.1,3519141,-2.5,7,
8,690073,19.8,142788,4.1,1243489,35.7,192249,5.5,-,-,-,-,-,-,306250,8.8,0,0,25190,0.7,16299,0.5,129621,3.7,733553,21.1,1697,0,3481209,1.6,8,
9,653083,21.4,126032,4.1,916994,30.1,220711,7.2,-,-,-,-,-,-,396418,13,1,0,14345,0.5,12716,0.4,118195,3.9,583954,19.2,3686,0.1,3046134,-0.2,9,
10,717785,21.7,158769,4.8,849097,25.6,280508,8.5,-,-,-,-,-,-,570897,17.2,1,0,9635,0.3,16459,0.5,101949,3.1,602192,18.2,3668,0.1,3310960,14.7,10,
11,721066,22.8,31371,1,946258,29.9,427724,13.5,-,-,-,-,-,-,265108,8.4,0,0,11664,0.4,13992,0.4,114686,3.6,624453,19.8,3629,0.1,3159951,14.1,11,
12,768766,23.7,39177,1.2,779103,24,566967,17.5,-,-,-,-,-,-,219260,6.8,0,0,25866,0.8,11725,0.4,131095,4,700897,21.6,2010,0.1,3244865,0.7,12,
