col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108
원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,,원자력,Nuclear Power,0,0,0,0,0,0,
석탄,Coal,2092,380,0,0,0,2472,,석탄,Coal,1399,325,0,0,0,1724,,석탄,Coal,1146,248,0,0,0,1394,,석탄,Coal,744,242,0,0,0,986,,석탄,Coal,798,233,0,0,0,1031,,석탄,Coal,958,232,0,0,0,1190,,석탄,Coal,1094,256,0,0,0,1349,,석탄,Coal,1205,286,0,0,0,1490,,석탄,Coal,1576,302,0,0,10199,12076,,석탄,Coal,1572,407,0,0,11049,13028,,석탄,Coal,1596,327,0,0,10491,12414,,석탄,Coal,1960,339,0,0,29065,31363,
LNG,LNG,1488,429,184,3,0,2104,,LNG,LNG,1484,381,148,3,0,2016,,LNG,LNG,2010,534,103,3,0,2649,,LNG,LNG,993,589,92,3,0,1677,,LNG,LNG,988,593,103,3,0,1686,,LNG,LNG,987,517,114,3,0,1622,,LNG,LNG,1185,506,120,3,0,1814,,LNG,LNG,1098,508,126,3,0,1736,,LNG,LNG,1251,3666,138,3,28790,33846,,LNG,LNG,1310,3129,71,3,27621,32134,,LNG,LNG,1294,3217,55,3,28012,32581,,LNG,LNG,1680,3541,68,3,76279,81571,
유류,Oil,31,3,24,3,0,61,,유류,Oil,1,7,22,3,0,33,,유류,Oil,2,6,21,3,0,33,,유류,Oil,1,5,18,3,0,27,,유류,Oil,0,2,19,3,0,24,,유류,Oil,1,0,19,3,0,23,,유류,Oil,0,2,16,3,0,22,,유류,Oil,0,0,17,3,0,21,,유류,Oil,2,1,15,3,25,45,,유류,Oil,4,0,7,3,33,48,,유류,Oil,6,0,18,3,40,67,,유류,Oil,6,0,20,3,102,131,
양수,PSH,79,27,682,142,0,930,,양수,PSH,79,32,616,126,0,852,,양수,PSH,87,33,723,138,0,981,,양수,PSH,39,22,670,126,0,857,,양수,PSH,46,36,693,133,0,908,,양수,PSH,42,25,667,114,0,848,,양수,PSH,47,23,686,135,0,890,,양수,PSH,48,23,684,137,0,891,,양수,PSH,78,125,660,130,992,1984,,양수,PSH,86,147,728,127,1133,2221,,양수,PSH,82,157,634,130,1169,2173,,양수,PSH,86,159,738,135,2832,3949,
신재생,Renewable,44,18,8,28,0,97,,신재생,Renewable,30,17,7,27,0,81,,신재생,Renewable,33,15,1,29,0,78,,신재생,Renewable,27,16,1,26,0,70,,신재생,Renewable,28,17,7,27,0,79,,신재생,Renewable,27,60,11,27,0,125,,신재생,Renewable,36,67,4,28,0,135,,신재생,Renewable,30,41,9,27,0,108,,신재생,Renewable,56,18,3,27,336,440,,신재생,Renewable,47,42,3,28,405,525,,신재생,Renewable,49,37,0,25,394,505,,신재생,Renewable,53,35,1,25,997,1111,
기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,,기타,Others,0,0,0,0,0,0,
합계,Total,3733,857,899,176,0,5665,,합계,Total,2993,762,793,158,0,4706,,합계,Total,3277,836,848,174,0,5135,,합계,Total,1805,874,781,157,0,3617,,합계,Total,1860,881,822,165,0,3729,,합계,Total,2016,835,811,147,0,3808,,합계,Total,2361,854,826,169,0,4210,,합계,Total,2380,859,837,170,0,4246,,합계,Total,2962,4111,816,163,40341,48392,,합계,Total,3018,3724,809,161,40242,47955,,합계,Total,3028,3738,707,161,40106,47740,,합계,Total,3784,4075,826,165,109275,118126,
5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(1월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(2월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(3월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(4월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(5월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(6월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(7월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(8월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(9월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(10월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(11월),,,,,,,,,5-2-2. 기저/일반별 연간 계통운영보조서비스정산금(12월),,,,,,,,
Monthly Ancillary Service Payment by Baseload and General(January),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(February),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(March),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(April),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(May),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(June),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(July),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(August),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(September),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(October),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(November),,,,,,,,,Monthly Ancillary Service Payment by Baseload and General(December),,,,,,,,
구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원],구분,,계통운영보조서비스정산금,,,,,,[단위 : 백만원]
,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won],,,Ancillary Service Payment,,,,,,[Unit : One Million Won]
,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,,,,1차주파수제어서비스정산금,2차주파수제어서비스정산금,3차주파수제어서비스정산금,자체기동정산금,예비력용량가치정산금,보조서비스정산금,
,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,,,,Primary Control AS Payment,Secondary Control AS Payment,Tertiary Control AS Payment,Black Start Payment,Lost Opportunity Cost of Reserve Payment,ASP Total,
기저,Baseload,2092,380,0,0,0,2472,,기저,Baseload,1399,325,0,0,0,1724,,기저,Baseload,1146,248,0,0,0,1394,,기저,Baseload,744,242,0,0,0,986,,기저,Baseload,798,233,0,0,0,1031,,기저,Baseload,958,232,0,0,0,1190,,기저,Baseload,1094,256,0,0,0,1349,,기저,Baseload,1205,286,0,0,0,1490,,기저,Baseload,1576,302,0,0,10199,12076,,기저,Baseload,1572,407,0,0,11049,13028,,기저,Baseload,1596,327,0,0,10491,12414,,기저,Baseload,1960,339,0,0,29065,31363,
일반,General,1641,476,899,176,0,3193,,일반,General,1594,436,793,158,0,2982,,일반,General,2132,588,848,174,0,3742,,일반,General,1061,632,781,157,0,2631,,일반,General,1062,648,822,165,0,2698,,일반,General,1058,603,811,147,0,2618,,일반,General,1268,599,826,169,0,2861,,일반,General,1176,573,837,170,0,2755,,일반,General,1386,3809,816,163,30142,36315,,일반,General,1446,3317,809,161,29192,34927,,일반,General,1432,3411,707,161,29615,35326,,일반,General,1825,3736,826,165,80210,86762,
합계,Total,3733,857,899,176,0,5665,,합계,Total,2993,762,793,158,0,4706,,합계,Total,3277,836,848,174,0,5135,,합계,Total,1805,874,781,157,0,3617,,합계,Total,1860,881,822,165,0,3729,,합계,Total,2016,835,811,147,0,3808,,합계,Total,2361,854,826,169,0,4210,,합계,Total,2380,859,837,170,0,4246,,합계,Total,2962,4111,816,163,40341,48392,,합계,Total,3018,3724,809,161,40242,47955,,합계,Total,3028,3738,707,161,40106,47740,,합계,Total,3784,4075,826,165,109275,118126,
