col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
6. 신재생에너지 전력시장 참여 설비용량,,,,,,,,,
Market-Registered Renewable Generation Capacity,,,,,,,,,
구분,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,[단위 : MW]
연료전지,Fuel Cell,345.0,480.0,624.0,769.0,872.0,1030.0,1158.0,[Unit : MW]
IGCC,IGCC,346.0,346.0,346.0,346.0,346.0,346.0,346.0,
태양광,Photovoltaic,2626.0,3412.0,4643.0,5827.0,6946.0,8563.0,9665.0,
풍력,Wind,1423.0,1562.0,1681.0,1727.0,1934.0,2152.0,2359.0,
수력,Hydro,1786.0,1792.0,1795.0,1811.0,1803.0,1808.0,1806.0,
해양에너지,Marine,255.0,256.0,256.0,256.0,256.0,256.0,255.0,
바이오에너지,Bio,531.0,890.0,1351.0,1434.0,1787.0,1794.0,1829.0,
폐기물에너지,Waste,3276.0,,,,,,,
합계,Total,10588.0,8738.0,10696.0,12170.0,13944.0,15949.0,17419.0,
7. 신재생에너지 전력거래량,,,,,,,,,
Renewable Energy Trading Volume,,,,,,,,,
구분,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,[단위 : GWh]
연료전지,Fuel Cell,1726.0,2228.0,3431.0,4663.0,5268.707,6093.784,7385.434,[Unit : GWh]
IGCC,IGCC,1285.0,781.0,1836.0,1678.0,1505.741,767.053,1574.218,
태양광,Photovoltaic,3064.0,3850.0,5080.0,6390.0,8361.847,9685.711,11127.027,
풍력,Wind,2456.0,2672.0,3134.0,3166.0,3351.552,3373.126,3659.571,
수력,Hydro,3327.0,2739.0,3811.0,2996.0,3487.852,3661.114,4244.568,
해양에너지,Marine,485.0,474.0,457.0,455.0,423.84,437.538,319.67,
바이오에너지,Bio,2787.0,4140.0,4652.0,6445.0,8947.329,9695.924,9749.822,
폐기물에너지,Waste,10477.0,7708.0,,,,,,
합계,Total,25607.0,24592.0,22400.0,25793.0,31346.868,33714.251,38060.311,
8. 신재생에너지 전력거래금액,,,,,,,,,
Renewable Energy Payment in Power Market,,,,,,,,,
구분,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,[단위 : 억원]
연료전지,Fuel Cell,1629.0,1983.0,2267.0,4397.0,10150.7,9681.91,9249.57,[Unit : 100 Million Won]
IGCC,IGCC,1219.0,638.0,1252.0,1580.0,2893.72,1453.22,2299.87,
태양광,Photovoltaic,3001.0,3611.0,3572.0,5966.0,15985.5,15434.45,15088.91,
풍력,Wind,2598.0,2766.0,2285.0,3143.0,6416.69,5082.01,4558.12,
수력,Hydro,3549.0,2845.0,3023.0,3126.0,7205.66,6016.51,6108.52,
해양에너지,Marine,453.0,421.0,307.0,421.0,783.28,643.34,407.62,
바이오에너지,Bio,2629.0,5031.0,5276.0,8814.0,21065.07,19481.06,15104.42,
폐기물에너지,Waste,10173.0,7290.0,,,,,,
합계,Total,25251.0,24585.0,17983.0,27448.0,64500.62,57792.49,52817.02,
"1) RPS의무이행비용, 배출권거래비용정산금 및 예측제도정산금을 제외한 금액임",,,,,,,,,
9. 신재생에너지 정산단가,,,,,,,,,
Unit Price of Renewable Energy,,,,,,,,,
구분,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,[단위 : 원/kWh]
연료전지,Fuel Cell,94.42,89.0,66.07,94.3,192.66,158.88,125.24,[Unit : Won/kWh]
IGCC,IGCC,94.86,81.74,68.19,94.18,192.18,189.45,146.1,
태양광,Photovoltaic,97.93,93.81,70.31,93.36,191.17,159.35,135.61,
풍력,Wind,105.77,103.49,72.91,99.28,191.45,150.66,124.55,
수력,Hydro,106.67,103.85,79.32,104.36,206.59,164.34,143.91,
해양에너지,Marine,93.35,88.67,67.18,92.55,184.81,147.04,127.51,
바이오에너지,Bio,94.34,121.52,113.41,136.76,235.43,200.92,154.92,
폐기물에너지,Waste,97.1,94.58,,,,,,
평균,Average,98.61,99.97,80.28,106.42,205.76,171.42,138.77,
"1) 정산단가 산정 시 RPS의무이행비용, 배출권거래비용정산금 및 예측제도정산금은 거래금액에서 제외",,,,,,,,,
