col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
2. 2023년 항목별 전력거래량,,,,,,,,,
Electric Energy Trading Volume by Item in 2023,,,,,,,,,
2-1. 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item,,,,,,,,,
2-1-1. 회원사별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Members,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market Registration Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
A 회원사,Member A,172384,31452,173720,173304,173302,176798,176798,
B 회원사,Member B,42001,9362,50370,49556,49553,38471,38471,
C 회원사,Member C,49074,10775,73545,72214,72191,45157,45157,
D 회원사,Member D,38857,11871,82628,81429,81400,39566,39565,
E 회원사,Member E,32196,11562,81289,80306,80301,38128,38128,
F 회원사,Member F,37994,9580,64748,63662,63643,34087,34087,
기타,Others,127643,52899,235636,231370,231219,172470,172465,
합계,Total,500149,137501,761935,751839,751608,544677,544671,
2-1-2. 연료원별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Fuel Type,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market Registration Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,172384,26050,172477,172044,172042,171685,171685,
석탄,Coal,201861,40690,246664,242019,241964,178930,178930,
LNG,LNG,122392,44257,329022,324212,324039,153519,153519,
유류,Oil,632,615,6017,5982,5981,620,620,
양수,PSH,0,4700,122,75,75,3778,3778,
신재생,Renewable,2798,15949,7152,7028,7027,33724,33719,
기타,Others,83,5241,481,480,480,2421,2421,
합계,Total,500149,137501,761935,751839,751608,544677,544671,
2-1-3. 기저·일반별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Baseload and General,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market Registration Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
기저,Baseload,373061,65009,417957,413022,412965,341055,341055,
일반,General,127088,72493,343978,338817,338643,203621,203616,
합계,Total,500149,137501,761935,751839,751608,544677,544671,
