col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014
3. 2023년 항목별 전력거래금액,,,,,,,,,,,,,
Payment in Power Market by Item in 2023,,,,,,,,,,,,,
3-1. 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item,,,,,,,,,,,,,
3-1-1. 연료원별 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item by Fuel Type,,,,,,,,,,,,,
구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]"
,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]"
,,전력량정산금,제약정산금,,,,기타정산금,,,,,,
,,,Constraint Payment,,,,,,,,,,
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
원자력,Nuclear Power,78777,0,0,0,41,0,15580,0,0,94398,54.98,
유연탄,Flaming Coal,215317,0,0,394,6096,746,22532,220,2250,247555,139.67,
무연탄,Anthracite,2506,0,0,1,99,4,170,0,0,2779,165.34,
LNG,LNG,253993,0,0,25980,3953,6842,32650,0,5435,328853,214.21,
중유,Heavy Fuel Oil,647,0,0,73,6,1,111,0,4,842,258.08,
경유,Light Fuel Oil,556,0,0,326,2,81,398,0,5,1368,466.22,
양수,PSH,6559,0,6,0,0,0,2254,0,280,9099,240.84,
연료전지,Fuel Cell,9013,0,0,0,0,669,0,0,0,9682,158.88,
IGCC,IGCC,1027,0,0,0,307,0,118,0,0,1453,189.46,
태양광,Photovoltaic,15432,0,0,0,0,0,0,0,0,15432,159.36,
풍력,Wind,5091,0,0,0,0,0,0,0,0,5091,150.66,
수력,Hydro,5648,0,0,0,0,0,320,0,48,6017,164.34,
해양에너지,Marine,643,0,0,0,0,0,0,0,0,643,147.04,
바이오가스,Biogas,425,0,0,0,0,0,0,0,0,425,148.52,
매립가스,LFG,323,0,0,0,0,0,0,0,0,323,149.72,
바이오중유,Bio Heavy Oil,2685,0,0,3564,2,1,635,0,53,6938,451.67,
바이오매스,Biomass,11488,0,0,0,0,303,0,0,0,11792,154.03,
바이오SRF,Bio-SRF,3,0,0,0,0,0,0,0,0,3,128.85,
부생가스,Off-Gas,1882,0,0,0,0,0,0,0,0,1882,161.88,
폐가스,Waste Gas,0,0,0,0,0,0,0,0,0,0,0,
폐기물,Waste,1596,0,0,0,0,0,0,0,0,1596,150.15,
기타,Others,340,0,0,8,0,0,48,0,0,396,202.84,
RPS의무이행비용,Renewable Portfolio Standard Payment,0,0,0,0,0,0,0,0,0,29408,-,
배출권거래비용,Emission Trading Settlement Payment,0,0,0,0,0,0,0,0,0,3880,-,
예측제도정산금,Power Demand Forecasting Payment,0,0,0,0,0,0,0,0,0,158,-,
합계,Total,613953,0,6,30346,10507,8647,74815,220,8075,780015,137.07,
3-1-2. 기저·일반별 연간 항목별 전력거래금액,,,,,,,,,,,,,
Yearly Payment in Power Market by Item by Baseload and General,,,,,,,,,,,,,
구분,,에너지정산금,,,,,,용량정산금,비상대기예비력정산금,보조서비스정산금,"전력거래
정산금",정산단가,"[단위 : 억원, 원/kWh]"
,,Energy Payment,,,,,,,,,,,"[Unit : 100 Million Won, Won/kWh]"
,,전력량정산금,제약정산금,,,,기타정산금,,,,,,
,,,Constraint Payment,,,,,,,,,,
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
기저,Baseload,282296,0,0,395,6237,737,38282,220,2250,330417,96.88,
일반,General,331657,0,6,29951,4270,7909,36533,0,5825,416151,204.38,
RPS의무이행비용,Renewable Portfolio Standard Payment,0,0,0,0,0,0,0,0,0,29408,0,
배출권거래비용,Emission Trading Settlement Payment,0,0,0,0,0,0,0,0,0,3880,0,
예측제도정산금,Power Demand Forecasting Payment,0,0,0,0,0,0,0,0,0,158,0,
합계,Total,613953,0,6,30346,10507,8647,74815,220,8075,780015,137.07,
