col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
4. 재생에너지 발전량 예측제도 통계,,,,,,,,,,,,,,,
Statistics of Renewable Energy Power Generation Improved Forecast,,,,,,,,,,,,,,,
4-1. 예측제도 참여 사업자,,,,,,,,,,,,,,,
구분,자원구분,2022년,,"[단위 : 개, MW]",,,,,,,,,,,
,,사업자수(개),"주요자원
설비용량(MW)",,,,,,,,,,,,
중개사업자,예측형 집합전력자원,24,2504,,,,,,,,,,,,
개별사업자,개별자원,13,911,,,,,,,,,,,,
4-2. 예측제도 정산 대상 발전량,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2022년,,64427.87100000014,96368.09500000015,93561.64600000001,108674.67499999996,143387.62099999955,97550.64600000027,142150.05100000027,148875.87999999983,180860.97899999944,238439.84999999983,195493.14299999975,148834.84200000003,1658625.2989999992,
4-3. 예측제도 정산금,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 천원],
2022년,248536.263,373186.539,363861.222,424117.88,559633.873,378908.778,549455.575,572382.567,697543.01,923955.477,758765.22,570825.433,6421171.836999999,,
