col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
2. 2022년 항목별 전력거래량,,,,,,,,,
Electric Energy Trading Volume by Item in 2022,,,,,,,,,
2-1. 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item,,,,,,,,,
2-1-1. 회원사별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Members,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
A 회원사,Member A,168641,30024,169958,169321,169314,172517,172517,
B 회원사,Member B,43667,9278,51834,51170,51168,42219,42219,
C 회원사,Member C,44062,10775,69554,68820,68769,44919,44919,
D 회원사,Member D,44283,11502,80335,79094,79064,41332,41332,
E 회원사,Member E,47062,11532,83709,83109,83101,49641,49641,
F 회원사,Member F,39501,9563,62475,61511,61502,37505,37505,
기타,Others,125242,47988,222509,219132,219046,163242,163242,
합계,Total,512458,130661,740375,732159,731964,551376,551376,
2-1-2. 연료원별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Fuel Type,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,167885,24650,168766,168055,168049,167513,167513,
석탄,Coal,215553,39621,229633,226736,226706,185907,185907,
LNG,LNG,124832,42108,328065,323454,323305,159614,159614,
유류,Oil,717,838,6983,6910,6903,1320,1320,
양수,PSH,2,4700,68,64,63,3706,3706,
신재생,Renewable,3440,13944,6352,6432,6431,31350,31350,
기타,Others,28,4800,508,508,508,1965,1965,
합계,Total,512458,130661,740375,732159,731964,551376,551376,
2-1-3. 기저·일반별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Baseload and General,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
기저,Baseload,379914,61519,395128,391887,391854,339916,339916,
일반,General,132543,69143,345247,340272,340110,211460,211460,
합계,Total,512458,130661,740375,732159,731964,551376,551376,
