col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
1. 신재생에너지 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewable Energy Market-Registered Renewable Generation Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,신에너지,,,,재생에너지,,,,,,,,,,,,,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : MW, %]"
,Advanced Energy,,,,Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Unit : MW, %]"
,연료전지,,IGCC,,태양에너지,,풍력에너지,,폐기물에너지,,,,,,수력에너지,,해양에너지,,바이오에너지,,,,,,,,,,,,,
,Fuel Cell,,IGCC,,Solar Energy,,Wind Energy,,Waste Energy,,,,,,Hydro Energy,,Marine Energy,,Bio Energy,,,,,,,,,,Total,Rate of Change,,
,,비율(%),,비율(%),태양광,비율(%),풍력,비율(%),부생가스,비율(%),폐가스,비율(%),폐기물,비율(%),수력,비율(%),해양에너지,비율(%),바이오가스,비율(%),매립가스,비율(%),바이오중유,비율(%),바이오매스,비율(%),바이오SRF,비율(%),,(%),,
,,Proportion(%),,Proportion(%),Photovoltaic,Proportion(%),Wind,Proportion(%),Off-Gas,Proportion(%),Waste Gas,Proportion(%),Waste,Proportion(%),Hydro,Proportion(%),Marine,Proportion(%),Biogas,Proportion(%),Land Fill Gas,Proportion(%),Bio Heavy Oil,Proportion(%),Biomass,Proportion(%),Bio-SRF,Proportion(%),,,,
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,-,-,535,,2001,
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,-,-,535,-,2002,
2003,-,-,-,-,-,-,6,0.2,2549,75.3,-,-,8,0.2,799,23.6,-,-,-,-,23,0.7,-,-,-,-,-,-,3386,533.4,2003,
2004,-,-,-,-,-,0.0,54,1.6,2549,74,-,-,9,0.3,804,23.3,-,-,-,-,26,0.8,-,-,2,0.1,-,-,3445,1.7,2004,
2005,-,-,-,-,1,0.0,86,2.5,2549,73.1,-,-,10,0.3,808,23.2,-,-,-,-,29,0.8,-,-,2,0.1,-,-,3486,1.2,2005,
2006,-,0.0,-,-,7,0.2,164,3.7,2549,57.8,-,-,24,0.5,1583,35.9,-,-,-,-,79,1.8,-,-,2,0.0,-,-,4410,26.5,2006,
2007,-,0.0,-,-,35,0.8,195,4.2,2668,58,-,-,28,0.6,1592,34.6,-,-,2,0.0,79,1.7,-,-,2,0.0,-,-,4601,4.3,2007,
2008,8,0.2,-,-,260,5.2,300,6,2668,53.8,-,-,33,0.7,1602,32.3,-,-,6,0.1,81,1.6,-,-,3,0.1,-,-,4961,7.8,2008,
2009,22,0.4,-,-,344,6.4,347,6.5,2868,53.6,-,-,56,1,1615,30.2,1,0.0,7,0.1,83,1.5,-,-,3,0.1,-,-,5347,7.8,2009,
