col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
1. 회원 통계,,,,,,,,,
Statistics of Member,,,,,,,,,
1-1. 전력시장 회원 및 설비용량,,,,,,,,,
구분,,,회원수(개),,,설비용량(MW),,,"[단위 : 개, MW]"
,,,2023년,2024년,증감,2023년,2024년,증감,
판매사업자,,,1,1,0,0,0,0,
"발전
사업자",한전 자회사,,6,6,0,84602,85383.439065,781.4390649999987,
,일반 발전사,,21,23,2,26392,29556.465754999997,3164.4657549999974,
,"신재생에너지
발전사",태양광,6013,6317,304,8077,8862.363877999922,785.3638779999219,
,,수력,21,22,1,27,164.84489,137.84489,
,,풍력,80,87,7,1938,2150.71513,212.71513000000004,
,,바이오,40,35,-5,387,370.2178,-16.78219999999999,
,,연료전지,28,37,9,465,567.7680099999999,102.76800999999989,
,,해양에너지,2,1,-1,2,0.5,-1.5,
,,(소계),6184,6499,315,10896,12116.409707999923,1220.4097079999228,
,폐기물,,45,45,0,266,695.7354,429.7354,
,기타 발전사,,5,6,1,23,25.289999999999996,2.2899999999999956,
,집단에너지사업자,,30,30,0,8954,9012.568140000003,58.56814000000304,
,(발전사업자 소계),,6291,6609,318,131133,136789.90806799993,5656.9080679999315,
자가용설비설치자 ,,,27,38,11,5340,5952.210120000002,612.2101200000016,
구역전기사업자,,,9,8,-1,1028,1027.2009449999998,-0.7990550000001804,
(정회원 소계),,,6328,6656,328,137501,143769.31913299992,6268.3191329999245,
준회원,,,5,9,4,0,0,0,
합계,,,6333,6665,332,137501,143769.31913299992,6268.3191329999245,
1) 각 연도의 말일을 기준으로 작성함,,,,,,,,,
1-2. 수요관리사업자 및 소규모중개사업자,,,,,,,,,
구분,,2023년,2024년,증감,[단위 : 개],,,,
수요관리사업자,정회원,37,36,-1,,,,,
,준회원,52,55,3,,,,,
,총계,89,91,2,,,,,
소규모중개사업자,정회원,33,40,7,,,,,
,준회원,50,61,11,,,,,
,총계,83,101,18,,,,,
