col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
1. 2023년 전력시장 종합 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of Power Market Statistic in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1. 월간 전력거래량 및 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume and Payment in Power Market by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"[단위 : GWh, 억원]",,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total,"[Unit : GWh, 100 Million Won]",,,,,,,,,,,,
전력거래량(GWh),Electric Power Trading Volume(GWh),50648,44305,44082,40537,41720,43141,49470,51071,44588,41289,44372,49445,544671,,,,,,,,,,,,,
전력거래금액(억원),Electric Power Payment of Settlement by Month(100 Million Won),85090,74787,75277,57901,54259,55451,76370,73917,58709,51869,50434,65950,780015,,,,,,,,,,,,,
1-2. 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Demand Forecasting and System Marginal Price,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-1. 월간 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Demand Forecasting and System Marginal Price by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계(가중평균),"[단위 : MWh, 원/kWh]",,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total(Weighted Average),"[Unit : MWh, Won/kWh]",,,,,,,,,,,,
통합SMP(원/kWh),Total SMP(Won/kWh),240.81,253.56,215.9,164.86,143.64,147.13,153.52,147.22,141.19,137.01,120.85,131.12,167.11,,,,,,,,,,,,,
