col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
2. 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,
Market-Registered Generation Capacity,,,,,,,,,,,,,,,,,,,,
2-1. 지역별 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,
Market-Registered Generation Capacity by Region,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,서울,인천,대전,광주,대구,세종,울산,부산,전국,[단위 : MW]
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,[Unit : MW]
2001,4930,1118,8150,6679,5905,701,9100,3,400,2001,388,4100,-,-,-,-,3000,3137,47609,
2002,4930,1018,7940,6679,6905,701,10200,3,400,2002,388,4100,-,-,-,-,3000,3587,49849,
2003,5203,1226,7992,8717,8382,754,10713,65,362,2003,446,5067,88,-,44,-,3016,4814,56889,
2004,5213,1228,8035,9757,8384,690,10713,69,368,2004,446,5822,88,-,116,-,3016,4966,58910,
2005,5214,1260,8035,9856,9329,691,11713,69,407,2005,446,6326,88,-,116,-,3016,4966,61532,
2006,5215,2336,8142,10596,9435,702,12713,571,610,2006,446,6377,90,1,116,-,3016,4969,65336,
2007,5750,2339,8146,10603,9573,707,14216,571,634,2007,459,7250,90,1,118,-,3016,4969,68441,
2008,5708,2383,8657,10720,9676,806,15271,572,635,2008,459,8125,90,1,118,-,3016,4970,71207,
2009,5068,2386,9171,10749,10074,1572,15487,580,711,2009,461,8824,90,4,121,-,3017,4970,73288,
2010,5819,3240,9179,10754,10308,1700,15670,580,724,2010,509,9436,138,123,139,-,3019,6021,77360,
2011,6113,3262,9186,11563,10317,1701,15333,580,726,2011,525,10065,139,124,147,-,3020,6027,78826,
2012,7202,3288,9170,12600,10216,1717,15331,616,744,2012,527,10623,141,127,147,7,3020,7047,82524,
2013,8434,3371,9195,13227,10961,1747,16135,621,714,2013,540,10549,161,129,157,542,3508,7084,87075,
2014,11915,3372,8832,13368,11370,1834,16192,641,799,2014,566,12964,165,133,577,542,3295,7097,93663,
2015,13647,3399,8869,14454,11542,2165,17743,660,891,2015,567,12968,174,145,582,544,3298,7148,98798,
2016,16422,5084,8897,13512,12180,2446,21280,686,958,2016,448,12981,174,150,588,549,3315,8563,108231,
2017,17464,7232,8944,13719,12280,2595,23313,707,993,2017,198,12986,174,153,592,550,5169,6597,113665,
2018,18617,7345,8972,13180,12486,2684,23464,750,1221,2018,198,13478,178,163,597,553,5173,6602,115660,
2019,19566,7431,9005,14254,12938,2809,23797,790,1358,2019,937,13543,179,176,602,556,6577,6603,121122,
2020,19658,7661,10102,14338,13590,2875,24220,839,1526,2020,973,14050,179,180,603,567,6592,6612,124566,
2021,19746,7808,10132,14451,14012,3279,24805,919,1552,2021,972,14111,193,183,612,571,6894,6639,126878,
2022,20398,10025,10244,16001,13987,3447,24904,1007,1601,2022,975,14128,193,209,621,574,5692,6654,130661,
2023,21827,11269,10441,18033,14676,3514,25820,980,1808,2023,993,14133,195,215,630,578,5715,6675,137501,
2024,21919,12422,11565,18166,15076,3554,26122,1883,1819,2024,995,14168,198,221,910,1179,6877,6695,143769,
2025,20784,12488,11724,19047,16013,3632,26568,2616,1926,2025,995,14187,201,235,919,1184,6912,6727,146157,
2025.1,20521,12423,11596,18178,15086,3555,26124,1885,1870,2025.1,995,14168,198,221,910,1179,6877,6697,142484,
2,20528,12424,11606,18263,15093,3558,26130,1887,1872,2,995,14178,198,224,911,1182,6876,6698,142624,
3,20536,12430,11609,18270,15102,3558,26133,1890,1875,3,995,14178,198,224,910,1182,6896,6699,142684,
4,20543,12455,11618,18274,15119,3571,26208,1921,1879,4,995,14178,198,226,915,1182,6900,6696,142877,
5,20546,12468,11633,18283,15130,3572,26220,1924,1880,5,995,14178,198,226,918,1182,6904,6697,142956,
6,20684,12471,11638,18381,15141,3580,26225,1933,1882,6,995,14180,198,227,918,1183,6904,6702,143243,
7,20710,12483,11654,18389,15767,3589,26227,1936,1890,7,995,14183,198,227,918,1183,6904,6708,143962,
8,20713,12485,11658,18399,15774,3591,26237,1939,1895,8,995,14183,198,227,918,1183,6904,6712,144013,
9,20715,12488,11666,18501,15790,3606,26278,2560,1902,9,995,14183,200,227,919,1183,6905,6715,144832,
10,20758,12511,11698,19015,15796,3613,26280,2563,1905,10,995,14185,200,227,919,1183,6905,6717,145470,
11,20777,12480,11710,19028,15805,3620,26287,2609,1906,11,995,14185,200,227,920,1184,6909,6722,145567,
