col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168
,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,,,,,제약발전,제약비발전,변동비보전정산금,기대이익정산금,,,,,,,
,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,,,,Electricity Payment,Constrained-On Energy Payment,Constrained-Off Energy Payment,Varialbe Cost Compensation Payment,Expected Profits Payment,Other Payments,Capacity Payment,Emergency Capacity Reserve Payment,Ancillary Service Payment,Total,Unit Price of Settlement,
,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),,,,(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(억원),(원/kWh),
,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),,,,(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(100 Million Won),(Won/kWh),
원자력,Nuclear Power,4877,0,0,0,1,0,1672,0,0,6551,43.93,,원자력,Nuclear Power,4288,0,0,0,0,0,1372,0,0,5660,43.67,,원자력,Nuclear Power,6127,0,0,0,3,0,1183,0,0,7313,50.55,,원자력,Nuclear Power,4173,0,0,0,5,0,600,0,0,4778,37.02,,원자력,Nuclear Power,4097,0,0,0,0,0,659,0,0,4757,34.59,,원자력,Nuclear Power,4127,0,0,0,0,0,1107,0,0,5234,38.87,,원자력,Nuclear Power,8434,0,0,0,0,0,1728,0,0,10162,67.56,,원자력,Nuclear Power,8127,0,0,0,0,0,1790,0,0,9918,65.75,,원자력,Nuclear Power,7493,0,0,0,18,0,1209,0,0,8720,61.23,,원자력,Nuclear Power,7587,0,0,0,15,0,925,0,0,8526,59.23,,원자력,Nuclear Power,7034,0,0,0,0,0,1443,0,0,8477,56.67,,원자력,Nuclear Power,12411,0,0,0,0,0,1889,0,0,14301,92.3,
유연탄,Flaming Coal,23731,0,0,17,241,86,2397,52,288,26811,156.84,,유연탄,Flaming Coal,20146,0,0,5,253,73,1919,87,233,22716,152.68,,유연탄,Flaming Coal,18747,0,0,24,1037,43,1307,81,195,21435,176.44,,유연탄,Flaming Coal,17082,0,0,10,336,49,721,0,167,18367,143.87,,유연탄,Flaming Coal,16518,0,0,48,393,58,856,0,215,18090,137.17,,유연탄,Flaming Coal,18551,0,0,31,471,58,1701,0,165,20978,142.84,,유연탄,Flaming Coal,21574,0,0,80,615,58,2881,0,212,25420,148.68,,유연탄,Flaming Coal,22339,0,0,54,1011,66,3001,0,187,26658,149.55,,유연탄,Flaming Coal,16631,0,0,42,719,56,1757,0,196,19401,136.81,,유연탄,Flaming Coal,12297,0,0,4,580,77,1221,0,152,14330,114.2,,유연탄,Flaming Coal,12088,0,0,19,375,65,1940,0,184,14671,104.6,,유연탄,Flaming Coal,15612,0,0,60,63,56,2830,0,56,18678,111.12,
무연탄,Anthracite,353,0,0,0,15,1,28,0,0,397,175.48,,무연탄,Anthracite,352,0,0,0,11,0,24,0,0,387,173.63,,무연탄,Anthracite,353,0,0,0,23,0,14,0,0,392,229.77,,무연탄,Anthracite,31,0,0,0,5,0,1,0,0,37,187.51,,무연탄,Anthracite,80,0,0,0,3,0,3,0,0,86,151.45,,무연탄,Anthracite,159,0,0,0,8,0,9,0,0,176,159.81,,무연탄,Anthracite,177,0,0,0,9,0,14,0,0,200,163.67,,무연탄,Anthracite,302,0,0,0,9,0,25,0,0,336,154.44,,무연탄,Anthracite,287,0,0,0,7,0,19,0,0,314,149.23,,무연탄,Anthracite,173,0,0,0,5,1,10,0,0,189,146.52,,무연탄,Anthracite,85,0,0,0,1,0,7,0,0,93,129.36,,무연탄,Anthracite,154,0,0,0,4,0,15,0,0,173,139.53,
LNG,LNG,31517,0,0,5008,114,743,3841,0,701,41925,278.78,,LNG,LNG,29649,0,0,4234,131,789,3252,0,570,38626,290.17,,LNG,LNG,30144,0,0,2522,917,676,2487,0,517,37263,270.45,,LNG,LNG,18528,0,0,1632,260,618,1253,0,546,22837,197.71,,LNG,LNG,16661,0,0,1777,272,551,1263,0,539,21061,184.23,,LNG,LNG,17693,0,0,1385,311,519,2194,0,322,22423,191.88,,LNG,LNG,21543,0,0,1129,468,493,3697,0,345,27675,203.97,,LNG,LNG,21764,0,0,1074,477,499,3875,0,323,28012,195.8,,LNG,LNG,18065,0,0,1489,334,500,2445,0,506,23339,186.45,,LNG,LNG,15098,0,0,2259,239,475,1534,0,496,20101,186.24,,LNG,LNG,14870,0,0,1832,150,491,2695,0,468,20505,172.32,,LNG,LNG,18462,0,0,1639,279,487,4114,0,103,25084,183.95,
중유,Heavy Fuel Oil,163,0,0,14,0,0,16,0,1,194,274.93,,중유,Heavy Fuel Oil,172,0,0,7,1,0,14,0,1,195,269.33,,중유,Heavy Fuel Oil,122,0,0,6,4,0,9,0,1,142,253.66,,중유,Heavy Fuel Oil,44,0,0,7,0,0,6,0,1,57,216.98,,중유,Heavy Fuel Oil,20,0,0,10,0,0,3,0,0,34,241.53,,중유,Heavy Fuel Oil,8,0,0,1,0,0,6,0,0,15,282.49,,중유,Heavy Fuel Oil,15,0,0,5,0,0,14,0,0,34,380.54,,중유,Heavy Fuel Oil,16,0,0,4,0,0,13,0,0,33,381.94,,중유,Heavy Fuel Oil,8,0,0,1,0,0,10,0,0,19,418.16,,중유,Heavy Fuel Oil,22,0,0,2,0,0,6,0,0,30,219.66,,중유,Heavy Fuel Oil,20,0,0,4,0,0,5,0,0,30,173,,중유,Heavy Fuel Oil,38,0,0,11,0,0,10,0,0,59,205.08,
경유,Light Fuel Oil,116,0,0,102,0,15,54,0,1,288,496.32,,경유,Light Fuel Oil,64,0,0,13,1,8,44,0,1,131,504.67,,경유,Light Fuel Oil,90,0,0,28,0,10,38,0,1,167,413.09,,경유,Light Fuel Oil,52,0,0,38,0,11,19,0,0,120,380,,경유,Light Fuel Oil,51,0,0,47,0,13,22,0,0,134,376.99,,경유,Light Fuel Oil,45,0,0,37,0,7,28,0,0,117,391.82,,경유,Light Fuel Oil,47,0,0,22,0,5,48,0,0,122,460.26,,경유,Light Fuel Oil,52,0,0,22,0,6,50,0,0,130,494.95,,경유,Light Fuel Oil,29,0,0,12,0,3,33,0,0,77,549.94,,경유,Light Fuel Oil,8,0,0,5,0,1,19,0,0,34,848.46,,경유,Light Fuel Oil,0,0,0,0,0,0,17,0,0,17,0,,경유,Light Fuel Oil,2,0,0,2,0,1,25,0,1,30,2848.12,
