col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
2. 수요자원시장 통계,,,,,,,,,,,,,,
Statistics of Demand Resource Trading Market,,,,,,,,,,,,,,
"2-1. 수요자원 의무감축용량 및 사업자, 수요자원 수",,,,,,,,,,,,,,
구분,의무감축용량,사업자수,수요자원수,참여고객수,"[단위 : MW, 개]",,,,,,,,,
,(MW),(개),(개),(개),,,,,,,,,,
2015년,2889.1369999999997,14,24,1519,,,,,,,,,,
2016년,3884.5119999999993,14,30,2223,,,,,,,,,,
2017년,4271.162,20,57,3580,,,,,,,,,,
2018년,4140.627,25,75,3639,,,,,,,,,,
2019년,4267.177999999999,28,87,4168,,,,,,,,,,
2020년,4499.344,29,85,4900,,,,,,,,,,
2021년,4552.934000000001,27,85,5034,,,,,,,,,,
2022년,4421.472,22,72,3762,,,,,,,,,,
2023년,4555,29,80,4571,,,,,,,,,,
2024년,4198,27,78,4217,,,,,,,,,,
2025년,4243,27,75,3877,,,,,,,,,,
 1) 사업자 수는 해당 연도의 말일을 기준으로 표준/중소형 수요자원을 1개 이상 등록한 사업자를 기준으로 작성함 ,,,,,,,,,,,,,,
" 2) 의무감축용량, 수요자원 수, 참여고객 수는 해당 연도의 말일을 기준으로 등록된 표준/중소형 수요자원을 기준으로 작성함 ",,,,,,,,,,,,,,
 3) 의무감축용량은 수요자원별 전력수요 의무감축요청에 따라 전력부하를 감축할 수 있는 최대용량을 의미함 ,,,,,,,,,,,,,,
" 4) 수요자원은 10개 이상의 참여고객으로 구성되며, 수요자원시장의 감축요청, 입·낙찰, 감축, 정산은 수요자원을 기준으로 시행함 ",,,,,,,,,,,,,,
2-2. 수요자원 감축실적,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위: MWh]
2015년,551.115,4963.76,6518.016,52334.402,48157.689999999995,27206.32,21439.231,19861.298999999995,6100.525999999999,13301.272000000008,3568.317000000001,1811.8950000000007,205813.84299999967,
2016년,28115.028999999995,32096.422000000002,14166.665999999994,11608.784000000003,11271.461000000001,35880.807,60608.22799999999,87771.13600000001,32003.209000000006,21852.602000000006,72466.629,15444.396999999995,423285.36999999965,
2017년,15799.473999999991,19028.851,5907.195999999997,8012.36,33292.295999999995,9860.650999999998,19819.04400000002,14538.498999999994,1578.6640000000002,3594.3100000000004,18447.872000000003,47423.380999999994,197302.59800000046,
2018년,36054.408999999985,14417.176999999998,3016.9880000000016,14716.551999999998,13083.160000000002,12755.147000000003,6494.376,27945.34699999999,11954.450000000004,5379.658000000001,47935.445000000014,27993.104,221745.8130000001,
2019년,39889.51799999998,43884.52300000001,41784.87700000003,15397.735999999995,20169.144,22654.691,21371.279000000006,49564.73199999999,44304.89699999995,39401.40900000003,13653.26499999999,66014.464,418090.5350000002,
2020년,90433.45299999992,29722.084,53538.25999999999,3563.494999999999,2201.0909999999994,13857.154000000002,25932.746000000014,39643.525000000045,16182.773,9870.809000000001,15125.642999999996,58037.48399999998,358108.51699999976,
2021년,22477.290999999994,19306.680000000008,21333.311999999994,47427.513000000006,51359.422999999995,58229.962,55036.646000000015,40413.181000000026,53375.541,59501.40900000001,18100.87,34329.57799999999,480891.4059999997,
2022년,9215.755999999981,16857.351000000013,22307.52400000001,9641.666999999994,43134.995000000024,39632.67899999989,13157.734999999999,66370.47400000013,13768.436999999996,11848.901999999995,8313.880999999994,48040.28099999996,302289.68200000003,
