col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
4. 신재생에너지 정산단가,,,,,,,,,,,,,,,,,
Unit Price of Renewable Energy,,,,,,,,,,,,,,,,,
구분,신에너지,,재생에너지,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : 원/kWh, %] "
,Advanced Energy,,Renewable Energy,,,,,,,,,,,,,,[Unit : Won/kWh]
,연료전지,IGCC,태양에너지,풍력에너지,폐기물에너지,,,수력에너지,해양에너지,바이오에너지,,,,,,,
,,,Solar Energy,Wind Energy,Waste Energy,,,Hydro Energy,Marine Energy,Bio Energy,,,,,,,
,,,태양광,풍력,부생가스,폐가스,폐기물,수력,해양에너지,바이오가스,매립가스,바이오중유,바이오매스,,,,
,Fuel Cell,IGCC,Photovoltaic,Wind,Off-Gas,Waste Gas,Waste,Hydro,Marine,Biogas,LFG,Bio Heavy Oil,Biomass,Total,Rate of Change,,
,,,,,,,,,,,,,,,(%),,
2001,,,,,,,,57.32,,,,,,57.32,,2001,
2002,,,,,,,,54.22,,,,,,54.22,-5.4,2002,
2003,,,,51.67,54.73,,49.52,57.43,,,47.85,,,56.7,4.6,2003,
2004,,,58.54,55.65,59.64,,53.73,62.01,,,54.54,,,61.19,7.9,2004,
2005,,,63.37,63.15,65.22,,61.27,71.27,,,59.69,,53.53,69.56,13.7,2005,
2006,84.73,,82.36,79.03,84.85,,76.75,83.97,,,78.58,,84.84,83.57,20.1,2006,
2007,82,,86.73,83.67,86.41,,81.05,93.6,,80.68,84.2,,78.29,91.16,9.1,2007,
2008,146.88,,136.88,126.73,131.95,,122.49,134.31,,136.84,121.28,,125.64,132.22,45,2008,
2009,101.97,,103.73,107.84,103.28,,95.67,109.25,120.43,103.2,104.17,,93.85,107.04,-19,2009,
2010,114.16,,124.93,124.34,92.13,,113.56,133.47,117.57,116.56,115.08,,115.31,117.34,9.6,2010,
2011,124.47,,130.68,143.08,88.56,,123.18,135.07,134.05,125.37,124.37,,124.33,113.58,-3.2,2011,
2012,157.07,,170.56,174.59,93.53,,156.3,177.68,154.65,158.95,157.4,,157.66,136.1,19.8,2012,
2013,148.35,,157.88,162.73,97.43,,148.43,167.6,147.3,150.08,151.09,,148.82,133.49,-1.9,2013,
2014,140.13,,145.29,153.17,102.14,,140.09,155.78,138.4,140.42,140.78,,140.68,122.9,-7.9,2014,
2015,100.28,,102,109.36,98.07,93.94,99.05,113.34,98.96,99.64,99.15,,91.63,101.13,-17.7,2015,
2016,76.42,76.11,76.81,82.8,97.28,75.91,76.25,84.19,75.69,75.42,76.15,,76.6,88.06,-12.9,2016,
2017,80.29,80.07,84.17,91.19,97.31,,80.78,93.7,79.75,80.69,80.92,,80.1,90.52,2.8,2017,
2018,94.42,94.86,97.93,105.77,97.32,,93.99,106.67,93.35,94.12,95.18,,94.29,98.61,8.9,2018,
2019,89,81.74,93.81,103.49,94.98,,89.53,103.85,88.67,89.38,90.95,210.63,89.3,99.97,1.4,2019,
2020,66.09,68.18,70.32,72.9,0,0,0,79.33,67.25,69.15,68.67,242.11,65.78,80.28,-19.7,2020,
2021,94.3,94.18,93.36,99.28,0,0,0,104.36,92.55,92.27,95.63,310.94,93.38,106.42,32.6,2021,
2022,184.76,192.85,191.17,191.5,0,0,0,206.59,184.81,180.9,183,466.46,188.24,203.87,91.6,2022,
2022.1,151.19,151.38,149.9,161.32,0,0,0,181.78,149.9,152,151.99,403.51,150.06,169.11,107.4,2022.1,
2,193.42,194.89,195.08,196.54,0,0,0,220.7,193.36,194.39,192.6,387.03,194.17,204.46,143.5,2,
3,191.83,191.78,193.79,197.49,0,0,0,201.02,194.09,192.04,191.87,376.88,191.85,200.56,114.6,3,
4,200.55,201.04,197.43,206.16,0,0,0,209.08,202.57,200.8,203.29,382.92,200.52,208.68,147.1,4,
5,138.38,138.99,139.29,151.09,0,0,0,145.49,138.04,139.34,139.27,409.88,138.52,153.47,77.5,5,
6,127.7,130.01,131.69,139.1,0,0,0,139.87,125.55,128.32,128.38,428.78,127.92,144.15,51.8,6,
7,148.84,161.99,158.64,168.78,0,0,0,174.25,145.32,149.59,149.21,503.99,148.98,171.85,60.5,7,
8,192.06,210.41,212.11,207.36,0,0,0,218.38,186.87,193.16,193.2,544.12,192.43,221.4,92.9,8,
9,228.91,290.37,244.02,232.03,0,0,0,240.42,221.59,233.48,228.4,527.74,229.31,252.72,124.4,9,
10,248.65,248.36,266.36,247.8,0,0,0,270.82,243.78,248.9,249.8,519.58,249.03,266.55,123.8,10,
11,238.81,0,250.08,237.73,0,0,0,266.5,234.24,238.82,239.33,500.22,238.7,258.6,88.2,11,
12,158.96,177.04,163.43,169.01,0,0,0,186.32,158.96,159.28,159.34,533.42,159.06,185.66,17,12,
