col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
1. 회원 통계,,,,,,,,,
Statistics of Member,,,,,,,,,
1-1. 전력시장 회원 및 설비용량,,,,,,,,,
구분,,,회원수(개),,,설비용량(MW),,,"[단위 : 개, MW]"
,,,2021년,2022년,증감,2021년,2022년,증감,
판매사업자,,,1,1,0,0,0,0,
"발전
사업자",한전 자회사,,6,6,0,82887,82674,-213,
,일반 발전사,,22,24,2,23705,24780,1075,
,"신재생에너지
발전사",태양광,4536,5152,616,5541,6705,1164,
,,수력,20,19,-1,95,104,9,
,,풍력,70,75,5,1513,1686,173,
,,바이오,37,37,0,353,352,-1,
,,연료전지,19,19,0,313,308,-5,
,,폐기물,0,0,0,0,0,0,
,,해양에너지,2,2,0,2,2,0,
,,(소계),4684,5304,620,7817,9157,1340,
,폐기물,,44,42,-2,215,213,-2,
,기타 발전사,,3,3,0,19,19,0,
,집단에너지사업자,,29,30,1,6932,7935,1003,
,(발전사업자 소계),,4788,5409,621,121575,124778,3203,
자가용설비설치자 ,,,24,25,1,4341,4920,579,
구역전기사업자,,,9,9,0,963,963,0,
(정회원 소계),,,4822,5444,622,126878,130661,3783,
준회원,,,0,1,1,0,0,0,
합계,,,4822,5445,623,126878,130661,3783,
1) 각 연도의 말일을 기준으로 작성함,,,,,,,,,
1-2. 수요관리사업자 및 소규모중개사업자,,,,,,,,,
구분,,2021년,2022년,증감,[단위 : 개],,,,
수요관리사업자,정회원,29,28,-1,,,,,
,준회원,25,25,0,,,,,
,합계,54,53,-1,,,,,
소규모중개사업자,정회원,19,29,10,,,,,
,준회원,48,44,-4,,,,,
,합계,67,73,6,,,,,
