col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
4. 소규모 전력중개시장 및 직접PPA 통계,,,,,,,,,,,,,,
Statistics of Distributed Energy Resources Market and Physical Power Purchase Agreement,,,,,,,,,,,,,,
4-1. 연간 소규모 전력중개시장 거래량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2025년,417885,550794,620173,738860,676883,678928,727202,657596,503673,470062,549650,484306,7076012,
4-1-1. 예측제도 참여 사업자,,,,,,,,,,,,,,
구분,자원구분,2025년,,"[단위 : 개, MW]",,,,,,,,,,
,,사업자수(개),"주요자원
설비용량(MW)",,,,,,,,,,,
중개사업자,예측형 집합전력자원,31,5212,,,,,,,,,,,
개별사업자,개별자원,39,3105,,,,,,,,,,,
4-1-2. 예측제도 정산 대상 발전량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2025년,411967,524138,532497,688822,580072,521395,673053,568581,371282,373579,539975,418059,6203420,
4-1-3. 예측제도 정산금,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 천원]
2025년,1553500,1976153,2022494,2651988,2225859,1954518,2545809,2144471,1391229,1397771,2044276,1576389,23484457,
4-2. 연간 직접PPA 거래량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2025년,66826,70670,68672,86569,84777,89004,92278,93452,72842,79930,90016,97111,992146,
