col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010
2. 2024년 항목별 전력거래량,,,,,,,,,
Electric Energy Trading Volume by Item in 2024,,,,,,,,,
2-1. 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item,,,,,,,,,
2-1-1. 회원사별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Members,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
A 회원사,Member A,180423,31468,182213,181483,181469,185808,185808,
B 회원사,Member B,39002,9383,48246,47286,47284,37305,37305,
C 회원사,Member C,48225,10798,76987,75896,75853,44035,44035,
D 회원사,Member D,37240,11917,82487,80965,80900,35937,35937,
E 회원사,Member E,34333,12184,90623,89472,89467,36108,36108,
F 회원사,Member F,35733,9674,61869,61304,61295,33396,33395,
기타,Others,123736,58344,258455,252838,252457,177884,177677,
합계,Total,498691,143769,800880,789244,788725,550473,550266,
2-1-2. 연료원별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Fuel Type,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,180423,26050,180792,180017,180003,179433,179433,
석탄,Coal,184878,41740,250993,246397,246300,161392,161391,
LNG,LNG,129502,48062,354942,348658,348255,163851,163851,
유류,Oil,112,531,4664,4660,4656,116,116,
양수,PSH,0,4700,75,67,67,4670,4670,
신재생,Renewable,3708,17419,8877,8910,8909,38267,38060,
기타,Others,69,5267,536,536,536,2745,2745,
합계,Total,498691,143769,800880,789244,788725,550473,550266,
2-1-3. 기저·일반별 연간 항목별 전력거래량,,,,,,,,,
Yearly Electric Energy Trading Volume by Item by Baseload and General,,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-Registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
기저,Baseload,365301,66059,431785,426414,426303,332282,332281,
일반,General,133390,77711,369094,362830,362422,218191,217984,
합계,Total,498691,143769,800880,789244,788725,550473,550266,
