col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
17시,17 Hour,154.8,133.94,134.81,130.16,138.11,141.89,145.93,156.5,151.09,131.55,126.1,130.66,140.48,
18시,18 Hour,154.3,131.25,138.87,133.75,136.27,138.12,142.63,153.54,149.98,130.66,124.55,129.33,139.3,
19시,19 Hour,155.09,133.02,147.65,138.04,137.28,135.46,141.28,152.92,149.74,132.01,122.16,127.03,139.88,
20시,20 Hour,152.84,128.26,147.08,140.83,140.49,135.52,141.35,152,148.81,129.01,117.18,124.31,138.73,
21시,21 Hour,148.18,121.45,147.39,140,138.62,135.91,142.15,148.25,146.43,123.46,112.43,119.39,135.91,
22시,22 Hour,138.57,117.6,145.46,136.18,136.42,132.71,138.5,146.92,143.49,116.59,108.24,110.5,131.49,
23시,23 Hour,132.54,113.32,143.57,136,133.47,128.7,135.57,143.8,140.82,112.2,105.75,106.82,128.12,
24시,24 Hour,137.23,114.73,144.88,130.51,130.69,123.41,130.92,141.43,132.69,105.15,106.12,103.39,125.48,
가중평균,Weighted Average,138.06,119.53,134.47,126.09,126.36,125.99,132.49,145.86,138.85,117.24,112.22,116.6,128.39,
4-2-2. 시간대별 육지SMP,,,,,,,,,,,,,,,
Main Land System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,116.43,102.6,130.5,116.1,116.76,116.94,122.25,140.14,131.35,99.27,105.17,98.9,116.73,
2시,2 Hour,96.66,88.59,113.97,107.21,107.96,103.68,103.84,129.12,116.73,93.15,91.04,87.51,103.48,
3시,3 Hour,92.84,84.93,105.81,99.96,103.71,99.18,99.9,122.8,114.44,91.48,87.63,85.32,99.16,
4시,4 Hour,92.12,82.89,103.8,96.46,97.63,94.85,98.08,119.14,112.23,89.06,85.91,83.75,96.51,
5시,5 Hour,92.63,83.77,107.58,99.53,101.9,95.75,98.34,117.89,112.26,91.11,87.59,84.41,97.82,
6시,6 Hour,93.55,88.08,116.86,108.42,109.19,96.28,99.18,122.43,113.44,94.51,95.34,88.89,102.2,
7시,7 Hour,104.92,96.18,131.51,118.52,112.34,102.51,110.29,127.5,121.2,99.66,105.41,96.43,110.61,
8시,8 Hour,132.58,111.97,138.39,125.86,115.36,113.69,126.13,142.25,133.86,107.75,111.56,113.66,123.23,
9시,9 Hour,154.83,140.33,144.89,137.26,125.95,127.25,135.65,144.52,138.76,126.96,124.69,134.75,136.98,
10시,10 Hour,178.74,152.95,151.91,140.81,133.1,133.7,143.18,149.29,147.78,132,129.11,145.93,145.91,
11시,11 Hour,164.8,144.88,143.91,135.13,134.09,139.59,143.5,152.88,147.3,132.97,130.29,142.26,143.52,
12시,12 Hour,159.25,140.7,139.69,128.13,131.72,138.08,146.1,155.32,147.17,132.49,125.91,137.48,141.28,
13시,13 Hour,149.01,124,128.18,119.1,131.9,134.92,141.32,153.72,145.65,124.78,110.65,125.76,133.72,
14시,14 Hour,152.78,133.31,131.91,126.53,130.72,138.83,146.03,162.95,148.68,129.02,118.57,128.51,138.67,
15시,15 Hour,154.24,136.52,134.04,129.13,136.61,144.54,150.2,162.19,150.01,131.53,121.94,129.92,141.26,
16시,16 Hour,157.01,133.62,136.23,131.96,134.18,139.63,149.43,164.68,155.69,132,122.08,133.21,142.04,
17시,17 Hour,154.75,133.96,134.75,129.97,138.12,141.86,145.9,156.47,151.03,131.53,126.11,130.61,140.44,
18시,18 Hour,154.09,131.23,138.79,133.54,136.26,138.06,142.58,153.45,149.83,130.59,124.53,129.28,139.21,
19시,19 Hour,154.6,132.77,147.37,137.75,137.25,135.4,141.18,152.7,149.46,131.94,122.11,126.96,139.69,
20시,20 Hour,152.61,128.01,146.84,140.48,140.46,135.43,141.22,151.75,148.58,128.9,117.15,124.25,138.56,
21시,21 Hour,147.95,121.38,147.16,139.72,138.56,135.81,142.02,148,146.28,123.34,112.39,119.33,135.75,
22시,22 Hour,138.39,117.53,145.36,135.94,136.34,132.63,138.4,146.74,143.36,116.53,108.22,110.45,131.37,
23시,23 Hour,132.41,113.19,143.51,135.55,133.42,128.68,135.53,143.64,140.7,112.07,105.73,106.72,128,
24시,24 Hour,136.97,114.63,144.72,130.27,130.66,123.41,130.91,141.36,132.56,105.04,106.11,103.37,125.38,
가중평균,Weighted Average,137.91,119.49,134.4,125.9,126.35,125.99,132.46,145.79,138.78,117.2,112.26,116.58,128.33,
4-2-3. 시간대별 제주SMP,,,,,,,,,,,,,,,
Jeju System Marginal Price by Hour,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh]
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighted Average,[Unit : Won/kWh]
1시,1 Hour,139.64,113.54,139.66,137.13,117.73,116.31,122.31,141.59,135.88,108.08,105.05,103.88,124.37,
2시,2 Hour,118.75,88.49,118.45,131.41,108.94,103.29,103.77,129.77,117.45,102.37,90.87,89.33,109.22,
3시,3 Hour,117.42,84.82,113.53,128.34,103.91,98.89,99.85,122.61,114.84,92.22,84.61,85.25,104.61,
4시,4 Hour,111.05,82.77,110.93,123.73,98,94.59,98.04,118.94,112.62,84.75,82.91,83.71,100.93,
5시,5 Hour,113.13,83.67,112.99,119.53,102.35,95.5,98.29,117.72,112.68,86.74,81.95,84.35,101.5,
6시,6 Hour,117.87,90.55,122.71,135.52,108.87,96.1,99.14,122.18,108.1,93.49,86.1,88.74,106.6,
7시,7 Hour,122.51,98.02,134.56,125.46,112.14,102.15,110.02,127.24,124.86,111.67,105.71,99.22,115.02,
8시,8 Hour,145.03,115.14,150.73,138.64,115.5,112.69,125.73,142.28,138.04,112.27,108.38,114.18,127.65,
9시,9 Hour,161.89,141.2,149.81,141.64,124.58,126.66,135.9,144.45,140.77,134.21,123.56,134.54,139.2,
10시,10 Hour,179.2,149.21,148.54,140.28,131.24,131.48,144.35,151.51,149.06,134.1,123.25,144.81,145.24,
11시,11 Hour,165.64,141.82,143.19,133.54,132.89,134.85,144.13,154.64,150.35,126.93,119.79,140.21,142.09,
12시,12 Hour,157.25,135.98,136.83,126.89,130.41,129.61,146.46,155.34,147.83,123.15,109.68,135,138.03,
13시,13 Hour,147.01,119.47,126.22,126.76,131.36,127.15,143,155.21,147.54,113.57,88.29,119.64,130.93,
14시,14 Hour,152.81,128.9,128.61,125.97,129.42,134.89,146.78,162.34,149.91,123.42,101.26,127.34,136.56,
15시,15 Hour,154.65,131.97,131.05,129.9,135.9,141,150.07,162.69,150.42,129.51,109.6,127.98,139.81,
16시,16 Hour,161.96,131.52,134.29,137.45,133.22,136.08,151.22,165.45,157.32,135.72,117.75,131.75,143.02,
17시,17 Hour,158.73,132.14,139.56,146.44,137.51,143.94,148.35,159.22,155.67,133.63,125.46,134.85,144.12,
18시,18 Hour,171.96,133.67,145.08,152.08,137.34,143.11,146.83,160.16,161.93,136.75,126.85,133.39,146.91,
19시,19 Hour,193.59,153.51,169.74,162.54,139.28,140.92,149.37,169.81,172.06,138.44,126.5,133.44,155.59,
20시,20 Hour,170.77,147.64,166.43,169.68,143,142.96,151.7,171.74,166.73,138.24,119.96,129.17,152.78,
21시,21 Hour,166.19,127.1,165.35,162.67,143.77,144.55,153.02,167.22,159.02,134.12,115.47,124.1,148.2,
22시,22 Hour,152.07,122.9,153.51,155.76,143.14,139.63,146.26,161.18,153.98,122.04,110.45,115.29,140.87,
23시,23 Hour,142.65,123.61,148.65,172.66,137.68,130.47,138.48,156.93,150.88,123.79,107.51,114.41,138.14,
24시,24 Hour,157.85,123.72,157.21,150.24,133.8,123.48,132.16,147.64,143.61,115.56,107.17,105.07,134.27,
가중평균,Weighted Average,150.67,122.34,140.61,141.72,127.09,126.41,135.55,151.27,145.1,120.62,108.66,118.18,133.46,
1) 제주SMP는 하루전에너지가격(하루전SMP)을 의미함,,,,,,,,,,,,,,,
