col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031
1. 신재생에너지 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market-Registered Renewable Generation Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,신에너지,,,,재생에너지,,,,,,,,,,,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : MW, %]"
,Advanced Energy,,,,Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,"[Unit : MW, %]"
,연료전지,,IGCC,,태양에너지,,풍력에너지,,폐기물에너지,,,,,,수력에너지,,해양에너지,,바이오에너지,,,,,,,,,,,
,Fuel Cell,,IGCC,,Solar Energy,,Wind Energy,,Waste Energy,,,,,,Hydro Energy,,Marine Energy,,Bio Energy,,,,,,,,Total,Rate of Change,,
,,비율(%),,비율(%),태양광,비율(%),풍력,비율(%),부생가스,비율(%),폐가스,비율(%),폐기물,비율(%),수력,비율(%),해양에너지,비율(%),바이오가스,비율(%),매립가스,비율(%),바이오중유,비율(%),바이오매스,비율(%),,(%),,
,,Proportion(%),,Proportion(%),Photovoltaic,Proportion(%),Wind,Proportion(%),Off-Gas,Proportion(%),Waste Gas,Proportion(%),Waste,Proportion(%),Hydro,Proportion(%),Marine,Proportion(%),Biogas,Proportion(%),Land Fill Gas,Proportion(%),Bio Heavy Oil,Proportion(%),Biomass,Proportion(%),,,,
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,535,,2001,
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,535,-,2002,
2003,-,-,-,-,-,-,6,0.2,2549,75.3,-,-,8,0.2,799,23.6,-,-,-,-,23,0.7,-,-,-,-,3386,533.4,2003,
2004,-,-,-,-,-,-,54,1.6,2549,74,-,-,9,0.3,804,23.3,-,-,-,-,26,0.8,-,-,2,0.1,3445,1.7,2004,
2005,-,-,-,-,1,0,86,2.5,2549,73.1,-,-,10,0.3,808,23.2,-,-,-,-,29,0.8,-,-,2,0.1,3486,1.2,2005,
2006,-,-,-,-,7,0.2,164,3.7,2549,57.8,-,-,24,0.5,1583,35.9,-,-,-,-,79,1.8,-,-,2,0,4410,26.5,2006,
2007,-,-,-,-,35,0.8,195,4.2,2668,58,-,-,28,0.6,1592,34.6,-,-,2,0,79,1.7,-,-,2,0,4601,4.3,2007,
2008,8,0.2,-,-,260,5.2,300,6,2668,53.8,-,-,33,0.7,1602,32.3,-,-,6,0.1,81,1.6,-,-,3,0.1,4961,7.8,2008,
2009,22,0.4,-,-,344,6.4,347,6.5,2868,53.6,-,-,56,1,1615,30.2,1,0,7,0.1,83,1.5,-,-,3,0.1,5347,7.8,2009,
2010,36,0.6,-,-,349,6,378,6.5,3300,56.5,-,-,72,1.2,1621,27.7,1,0,10,0.2,75,1.3,-,-,4,0.1,5847,9.3,2010,
2011,56,0.9,-,-,359,5.7,422,6.7,3300,52.6,-,-,78,1.2,1712,27.3,255,4.1,10,0.2,75,1.2,-,-,4,0.1,6272,7.3,2011,
2012,59,0.9,-,-,467,7.2,487,7.5,3300,50.7,-,-,115,1.8,1738,26.7,255,3.9,10,0.2,73,1.1,-,-,9,0.1,6513,3.9,2012,
2013,126,1.7,-,-,744,9.8,578,7.6,3858,50.7,-,-,159,2.1,1746,22.9,255,3.4,61,0.8,71,0.9,-,-,12,0.2,7611,16.9,2013,
2014,165,2,-,-,1037,12.6,641,7.8,4017,49,-,-,177,2.2,1759,21.4,255,3.1,67,0.8,69,0.8,-,-,19,0.2,8205,7.8,2014,
2015,171,1.8,381,4.1,1326,14.4,847,9.2,4017,43.5,17,0.2,190,2.1,1762,19.1,255,2.8,71,0.8,69,0.7,-,-,129,1.4,9233,12.5,2015,
2016,215,2.4,381,4.3,1599,18.1,1048,11.9,3010,34.1,17,0.2,165,1.9,1782,20.2,255,2.9,81,0.9,69,0.8,-,-,203,2.3,8824,-4.4,2016,
2017,252,2.6,346,3.6,2043,21.1,1234,12.7,3010,31,-,-,240,2.5,1785,18.4,255,2.6,83,0.9,69,0.7,-,-,378,3.9,9694,9.9,2017,
2018,345,3.3,346,3.3,2626,24.8,1423,13.4,3010,28.4,-,-,266,2.5,1786,16.9,255,2.4,86,0.8,66,0.6,-,-,378,3.6,10588,9.2,2018,
2019,480,5.5,346,4,3412,39.1,1562,17.9,-,-,-,-,-,-,1792,20.5,256,2.9,82,0.9,66,0.8,350,4,391,4.5,8738,-17.5,2019,
2020,624,5.8,346,3.2,4643,43.4,1681,15.7,-,-,-,-,-,-,1795,16.8,256,2.4,85,0.8,66,0.6,350,3.3,851,8,10696,22.4,2020,
2021,769,6.3,346,2.8,5827,47.9,1727,14.2,-,-,-,-,-,-,1811,14.9,256,2.1,86,0.7,64,0.5,350,2.9,935,7.7,12170,13.8,2021,
2022,872,6.3,346,2.5,6946,49.8,1934,13.9,-,-,-,-,-,-,1803,12.9,256,1.8,85,0.6,64,0.5,390,2.8,1248,8.9,13944,14.6,2022,
2022.1,761,6.2,346,2.8,5910,48.3,1727,14.1,-,-,-,-,-,-,1811,14.8,256,2.1,85,0.7,64,0.5,350,2.9,935,7.6,12245,13.3,2022.1,
2,776,6.2,346,2.8,6065,48.9,1727,13.9,-,-,-,-,-,-,1811,14.6,256,2.1,85,0.7,64,0.5,350,2.8,935,7.5,12414,14.6,2,
3,780,6.1,346,2.7,6126,47.9,1727,13.5,-,-,-,-,-,-,1811,14.2,256,2,85,0.7,64,0.5,350,2.7,1245,9.7,12790,16.9,3,
4,792,6.2,346,2.7,6182,48,1735,13.5,-,-,-,-,-,-,1811,14.1,256,2,85,0.7,64,0.5,350,2.7,1245,9.7,12866,17,4,
5,792,6.1,346,2.7,6247,48.2,1754,13.5,-,-,-,-,-,-,1811,14,256,2,85,0.7,64,0.5,350,2.7,1245,9.6,12949,16.7,5,
6,802,6.2,346,2.7,6282,48.4,1754,13.5,-,-,-,-,-,-,1803,13.9,256,2,85,0.7,64,0.5,350,2.7,1245,9.6,12986,16,6,
7,818,6.3,346,2.7,6339,48.5,1754,13.4,-,-,-,-,-,-,1803,13.8,256,2,85,0.7,64,0.5,350,2.7,1245,9.5,13059,15.3,7,
8,818,6.2,346,2.6,6474,48.9,1754,13.2,-,-,-,-,-,-,1803,13.6,256,1.9,85,0.6,64,0.5,390,2.9,1248,9.4,13237,15.3,8,
9,835,6.2,346,2.6,6655,49.5,1775,13.2,-,-,-,-,-,-,1803,13.4,256,1.9,85,0.6,64,0.5,390,2.9,1248,9.3,13456,16.1,9,
10,852,6.3,346,2.6,6721,49.6,1775,13.1,-,-,-,-,-,-,1803,13.3,256,1.9,85,0.6,64,0.5,390,2.9,1248,9.2,13539,15.1,10,
11,872,6.4,346,2.5,6790,49.7,1799,13.2,-,-,-,-,-,-,1803,13.2,256,1.9,85,0.6,64,0.5,390,2.9,1248,9.1,13652,14.6,11,
12,872,6.3,346,2.5,6946,49.8,1934,13.9,-,-,-,-,-,-,1803,12.9,256,1.8,85,0.6,64,0.5,390,2.8,1248,8.9,13944,14.6,12,
