col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033
1. 신재생에너지 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market-Registrated Renewable Generation Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,신에너지,,,,재생에너지,,,,,,,,,,,,,,,,,,,,,,,,"신재생에너지
합계",증감률,구분,"[단위 : MW, %]"
,Advanced Energy,,,,Renewable Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Unit : MW, %]"
,연료전지,,IGCC,,태양에너지,,풍력에너지,,폐기물에너지,,,,,,수력에너지,,해양에너지,,바이오에너지,,,,,,,,,,,,,
,Fuel Cell,,IGCC,,Solar Energy,,Wind Energy,,Waste Energy,,,,,,Hydro Energy,,Marine Energy,,Bio Energy,,,,,,,,,,Total,Rate of Change,,
,,비율(%),,비율(%),태양광,비율(%),풍력,비율(%),부생가스,비율(%),폐가스,비율(%),폐기물,비율(%),수력,비율(%),해양에너지,비율(%),바이오가스,비율(%),매립가스,비율(%),바이오중유,비율(%),바이오매스,비율(%),바이오SRF,비율(%),,(%),,
,,Proportion(%),,Proportion(%),Photovoltaic,Proportion(%),Wind,Proportion(%),Off-Gas,Proportion(%),Waste Gas,Proportion(%),Waste,Proportion(%),Hydro,Proportion(%),Marine,Proportion(%),Biogas,Proportion(%),Land Fill Gas,Proportion(%),Bio Heavy Oil,Proportion(%),Biomass,Proportion(%),Bio-SRF,Proportion(%),,,,
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,-,-,535,,2001,
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,535,100,-,-,-,-,-,-,-,-,-,-,-,-,535,-,2002,
