col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
3. 전력거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1. 지역별 전력거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,서울,인천,대전,광주,대구,세종,울산,부산,전국,[단위 : GWh],,,,,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Total,[Unit : GWh],,,,,,,
2001,11570,3295,36109,39123,26950,924,43277,5,891,2001,615,11014,-,-,-,,6735,18282,198788,,,,,,,,
2002,13942,4114,48507,49937,43793,1029,64560,9,1333,2002,849,18258,-,-,-,,8692,25710,280734,,,,,,,,
2003,15555,5042,49655,53372,50068,1473,68534,133,1305,2003,855,18049,180,-,118,,7810,27246,299394,,,,,,,,
2004,12761,4670,49508,58336,47873,902,72506,161,1426,2004,781,24356,255,-,134,,9327,34905,317901,,,,,,,,
2005,14377,4338,49492,67930,53093,956,72490,204,1614,2005,866,30028,204,-,145,,8484,34514,338737,,,,,,,,
2006,13971,4904,48239,70582,55645,768,76312,973,1856,2006,1192,35506,205,0,138,,9261,35253,354805,,,,,,,,
2007,15792,5330,50051,69545,55147,663,89280,1226,2160,2007,1529,39214,226,1,131,,9520,34568,374384,,,,,,,,
2008,14534,6400,50370,72728,55885,997,99245,895,2185,2008,1125,43848,202,1,114,,7430,36363,392323,,,,,,,,
2009,14450,7071,57266,68699,60630,1046,99729,812,2484,2009,820,50357,188,3,123,,7248,34765,405692,,,,,,,,
2010,18286,8447,59171,67365,62109,4217,109793,1132,2538,2010,1483,56290,196,37,146,,9127,40532,440868,,,,,,,,
2011,19871,11487,58836,67752,63468,7073,110354,1559,2680,2011,1330,61935,156,37,197,,9937,45672,462343,,,,,,,,
2012,23567,10996,59496,66408,60562,7720,108544,1253,2870,2012,1908,68214,192,41,220,8,12908,46888,471795,,,,,,,,
2013,28692,11631,59730,65007,58081,7637,112811,1249,2964,2013,1603,73208,200,449,210,618,12659,42790,479541,,,,,,,,
2014,33053,9463,56368,73023,63338,7244,108894,877,2775,2014,770,69097,156,396,515,2689,9768,51972,490399,,,,,,,,
