col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
1. 2025년 전력시장 종합 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of Power Market Statistic in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1. 월간 전력거래량 및 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Energy Trading Volume and Payment in Power Market by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"[단위 : GWh, 억원]",,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total,"[Unit : GWh, 100 Million Won]",,,,,,,,,,,,
전력거래량(GWh),Electric Energy Trading Volume(GWh),48860,45196,44688,40396,41275,43231,52117,52399,46666,41741,42099,48494,547163,,,,,,,,,,,,,
전력거래금액(억원),Payment in Power Market(100 Million Won),67140,63138,54361,57296,54712,56199,81593,71227,61334,49686,48981,60212,725879,,,,,,,,,,,,,
1-2. 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-1. 월간 전력시장가격,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Marginal Price by Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계(가중평균),[단위 : 원/kWh],,,,,,,,,,,,
,,January,February,March,April,May,June,July,August,September,October,Novermber,December,Total(Weighted Average),[Unit : Won/kWh],,,,,,,,,,,,
통합SMP(원/kWh),Total SMP(Won/kWh),117.13,116.39,113.03,124.58,125.47,118.05,120.39,117.4,112.91,101.53,94.81,90.44,112.72,,,,,,,,,,,,,
육지SMP(원/kWh),Main Land SMP(Won/kWh),117.11,116.39,113.12,124.63,125.5,118.02,120.39,117.39,112.9,101.53,94.8,90.43,112.73,,,,,,,,,,,,,
