col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
5. 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement,,,,,,,,,,,,,,,,,,,,
5-1. 지역별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Region,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,구분,서울,인천,대전,광주,대구,세종,울산,부산,전국,[단위 : 원/kWh]
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,,Seoul,Incheon,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Average,[Unit : Won/kWh]
"2) 현재 기준 세종시 소재 발전기의 경우, 2012년 6월까지는 당시의 행정구역을 기준으로, 2012년 7월부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,
5-2. 회원사별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Members,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,B 회원사,C 회원사,D 회원사,E 회원사,F 회원사,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Member A,Member B,Member C,Member D,Member E,Member F,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.84,49.03,51.13,58.12,51.57,56.37,,47.85,,,,,,,,,,,,
2002,39.7,48.52,51.42,55.23,50.3,55.79,,47.14,-1.5,,,,,,,,,,,
2003,39.94,48.16,56.5,56.92,54.35,57.04,61.76,48.64,3.2,,,,,,,,,,,
2004,39.78,46.5,55.44,55.9,58.23,58.54,69.29,49.2,1.2,,,,,,,,,,,
2005,39.4,48.79,61.1,60.63,62.96,61.15,79.31,50.96,3.6,,,,,,,,,,,
2006,38.51,47.29,65.65,64.91,70.27,61.74,95.1,53.3,4.6,,,,,,,,,,,
2007,39.92,49.95,70,65.72,73.91,62.55,98.39,56.51,6,,,,,,,,,,,
2008,39.82,63.46,87.48,81.11,95.14,80.26,145.34,68.31,20.9,,,,,,,,,,,
2009,36.16,64.72,84.27,86.29,87.73,78.88,124.25,66.34,-2.9,,,,,,,,,,,
2010,40.87,69.92,89.56,92.69,89.52,84.97,128.99,73.09,10.2,,,,,,,,,,,
2011,42.79,74.23,97.26,98.04,101.54,91.89,134.67,79.55,8.8,,,,,,,,,,,
2012,45.06,75.35,108.16,109.65,113.56,106.29,167.37,90.17,13.3,,,,,,,,,,,
2013,45.3,67.41,101.18,102.13,107.99,97.24,159.35,87.69,-2.7,,,,,,,,,,,
2014,59.04,67.88,98.03,99.64,108.85,91.1,148.78,89.48,2,,,,,,,,,,,
2015,64.48,70.6,87.16,89.15,90.75,84.66,116.17,82.67,-7.6,,,,,,,,,,,
2016,68.88,71.59,84.43,85.63,86.66,84.63,91.84,79.58,-3.7,,,,,,,,,,,
2017,62.23,76.36,87.53,91.61,90.98,91.92,100.63,82.98,4.3,,,,,,,,,,,
2018,64.35,81.35,92.38,96.41,97.83,94.1,110.97,90.09,8.6,,,,,,,,,,,
2019,60.12,84.52,101.17,98.65,101.91,96.83,107.91,89.44,-0.7,,,,,,,,,,,
2020,60.87,81.02,89.78,92.8,95.14,92.37,87.32,80.35,-10.2,,,,,,,,,,,
2021,58.44,98.36,111.84,108.2,113.67,109.3,111.93,95,18.23,,,,,,,,,,,
2022,58.46,166.7,187.65,192.38,185.27,178.25,214.7,153.13,61.19,,,,,,,,,,,
2023,59.79,145.97,163.62,169.23,188.39,156.53,184.78,137.07,-10.49,,,,,,,,,,,
2023.1,48.63,177.84,196.61,202.58,206.84,187.62,235.72,163.39,21.03,,,,,,,,,,,
2,48.33,171.2,197.03,212.24,208.84,190.16,243.19,165.99,5.47,,,,,,,,,,,
3,57.47,169.23,212.8,219.97,214.58,212.09,245.92,169.51,12.95,,,,,,,,,,,
4,42.04,137.72,159.83,158.3,179.19,163.59,180.27,127.78,-16.61,,,,,,,,,,,
5,40.24,124.65,152.38,154.42,172.52,150.37,167.91,118.43,6.97,,,,,,,,,,,
6,44,134.85,152.97,159.94,171.94,157.05,175.99,125.73,16.23,,,,,,,,,,,
7,72.34,168.61,168.49,166.1,203.97,147.6,176.52,141.64,2.37,,,,,,,,,,,
8,70.27,156.13,181.59,169.89,193.04,140.18,171.36,139.83,-20.27,,,,,,,,,,,
9,65.86,146.74,156.53,160.73,181.38,149.22,161.86,129.21,-26.44,,,,,,,,,,,
10,63.68,121.14,134.49,144.58,166.98,136.59,157.59,118.18,-33.22,,,,,,,,,,,
11,60.75,115.14,116.85,123.66,156.42,129.78,144.29,109.71,-38.06,,,,,,,,,,,
12,95.88,120.19,124.49,154.49,178.25,111.32,153.37,128.48,-27.64,,,,,,,,,,,
5-3. 연료원별 정산단가,,,,,,,,,,,,,,,,,,,,
Unit Price of Settlement by Fuel Type,,,,,,,,,,,,,,,,,,,,
구분,원자력,석탄,LNG,유류,양수,신재생,기타,평균,증감률,"[단위 : 원/kWh, %]",,,,,,,,,,
,Nuclear Power,Coal,LNG,Oil,PSH,Renewable,Others,Average,Rate of Change,"[Unit : Won/kWh, %]",,,,,,,,,,
,,,,,,,,,(%),,,,,,,,,,,
2001,39.65,42.26,87.77,73.37,75.06,57.32,,47.85,,,,,,,,,,,,
2002,39.55,42.71,75.6,70.94,83.58,54.22,,47.14,-1.5,,,,,,,,,,,
2003,39.75,42.63,82.92,76.03,94.08,56.7,,48.64,3.2,,,,,,,,,,,
2004,39.52,42.3,77.91,81.33,108.2,61.19,,49.2,1.2,,,,,,,,,,,
2005,39.1,43.95,87.07,92.5,108.28,69.56,,50.96,3.6,,,,,,,,,,,
2006,38.13,39.05,102.95,116.43,136.8,83.57,,53.3,4.6,,,,,,,,,,,
2007,39.4,41.83,104.93,118.3,163.31,91.16,,56.51,6,,,,,,,,,,,
2008,39.02,53.67,143.72,194.43,196.78,132.22,,68.31,20.9,,,,,,,,,,,
2009,35.56,62.15,129.51,147.24,149.7,107.04,,66.34,-2.9,,,,,,,,,,,
2010,39.61,62.77,128.06,184.6,202.61,117.34,,73.09,10.2,,,,,,,,,,,
2011,39.12,68.39,142.36,225.82,168.83,113.58,,79.55,8.8,,,,,,,,,,,
2012,39.52,67.81,168.1,252.96,213.93,136.1,,90.17,13.3,,,,,,,,,,,
2013,39.03,59.87,160.74,221.7,204.21,133.49,146.08,87.69,-2.7,,,,,,,,,,,
2014,54.7,64.36,160.69,221.24,171.5,122.9,142.58,89.48,2,,,,,,,,,,,
2015,62.69,69.59,126.14,150.28,132.75,101.13,95.04,82.67,-7.6,,,,,,,,,,,
2016,67.91,74.44,99.33,109.5,106.21,88.06,73.97,79.58,-3.7,,,,,,,,,,,
2017,60.68,78.79,111.6,165.44,107.6,90.52,80.01,82.98,4.3,,,,,,,,,,,
2018,62.1,82.05,121.03,179.43,125.37,98.61,94.29,90.09,8.6,,,,,,,,,,,
2019,58.31,86.36,118.65,228.48,121.25,99.97,92.99,89.44,-0.7,,,,,,,,,,,
2020,59.61,81.51,98.55,193.02,112.8,80.28,84.52,80.35,-10.2,,,,,,,,,,,
2021,56.15,99.06,121.7,224.36,140.13,106.42,94.98,95,18.23,,,,,,,,,,,
2022,52.48,157.01,239.3,310.11,277.58,205.77,196.29,153.13,61.19,,,,,,,,,,,
2023,54.98,139.91,214.21,356.68,240.84,171.42,160.04,137.07,-10.49,,,,,,,,,,,
2023.1,43.93,157.08,278.78,374.99,243.95,199.82,179.85,163.39,21.03,,,,,,,,,,,
2,43.67,152.99,290.17,331.34,252.84,202.84,177.31,165.99,5.47,,,,,,,,,,,
3,50.55,177.18,270.45,320.62,316.69,225.05,224.62,169.51,12.95,,,,,,,,,,,
4,37.02,143.93,197.71,305.95,197.19,170.85,159.45,127.78,-16.61,,,,,,,,,,,
5,34.59,137.24,184.23,338.84,206.57,156.69,149,118.43,6.97,,,,,,,,,,,
6,38.87,142.96,191.88,375.65,227.15,162.98,150.06,125.73,16.23,,,,,,,,,,,
7,67.56,148.78,203.97,440.08,258.95,173.6,158.19,141.64,2.37,,,,,,,,,,,
8,65.75,149.61,195.8,466.7,278.29,168.53,152.08,139.83,-20.27,,,,,,,,,,,
9,61.23,136.99,186.45,517.2,234.54,162.18,145.49,129.21,-26.44,,,,,,,,,,,
10,59.23,114.53,186.24,363.34,212.33,159.3,139.05,118.18,-33.22,,,,,,,,,,,
11,56.67,104.73,172.32,273.78,220.17,136.17,122.21,109.71,-38.06,,,,,,,,,,,
12,92.3,111.33,183.95,298.65,264.05,145.38,136.78,128.48,-27.64,,,,,,,,,,,
