col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
4. 소규모 전력중개시장 및 직접PPA 통계,,,,,,,,,,,,,,
Statistics of Distributed Energy Resources Market and Physical Power Purchase Agreement,,,,,,,,,,,,,,
4-1. 연간 소규모 전력중개시장 거래량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2024년,342273,310505,552720,545667,715072,627225,492502,640436,526983,442777,415275,420967,6032402,
4-1-1. 예측제도 참여 사업자,,,,,,,,,,,,,,
구분,자원구분,2024년,,"[단위 : 개, MW]",,,,,,,,,,
,,사업자수(개),"주요자원
설비용량(MW)",,,,,,,,,,,
중개사업자,예측형 집합전력자원,32,4675,,,,,,,,,,,
개별사업자,개별자원,33,2581,,,,,,,,,,,
4-1-2. 예측제도 정산 대상 발전량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2024년,318637,240667,456780,463990,734599,591496,407490,666190,526398,418575,427598,426253,5678673,
4-1-3. 예측제도 정산금,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : 천원]
2024년,1227088,922502,1764289,1787556,2855563,2275429,1543124,2569144,2019128,1592105,1623885,1599921,21779734,
4-2. 연간 직접PPA 거래량,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,[단위 : MWh]
2024년,3173,2703,4383,4663,5863,5293,15236,9000,10251,51277,43892,68465,224200,
