col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
6. 계통한계가격(SMP),,,,,,,,,,,,,,,,,
System Marginal Price(Energy Market Price),,,,,,,,,,,,,,,,,
6-1. 연간 월별 통합SMP,,,,,,,,,,,,,,,,,
Yearly Total System Marginal Price by Month,,,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh],,,
,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighed Average,[단위 : Won/kWh],,,
2001,,,,50.91,52.74,51.62,47.88,42.69,44.94,47.22,47.45,56.49,49.11,,,,
2002,58.24,52.38,50.68,46.87,48.36,39.49,40.4,36.4,41.14,46.45,53.99,54.27,47.54,,,,
2003,55.58,55.14,56.66,56.03,57.07,50.6,40.33,38.35,43.21,47.71,51.01,55.87,50.73,,,,
2004,55.02,60.35,60.39,57.27,54.17,52.58,49.99,47.15,50.26,58.89,61.03,63.78,55.97,,,,
2005,67.38,62.89,61.75,52.49,47.26,52.97,55.64,54.42,63.93,64.54,76.34,81.15,62.12,,,,
2006,81.35,82.66,85.5,83.47,81.77,71.77,65.87,74.2,74.8,70.14,87.69,89.64,79.27,,,,
2007,86.48,82.95,88.92,82.62,81.47,81.93,76.15,74.85,72.01,86.5,91.16,97.95,83.84,,,,
2008,105.98,106.7,109.96,110.64,107.8,105.93,117.79,104.58,129.56,144.03,161.29,167.56,122.65,,,,
2009,159.45,161.15,126.36,114.14,93.64,74.13,66.45,75.6,79.85,83.69,104.64,116.84,105.08,,,,
2010,122.53,120.52,120.88,115.48,115.66,114.8,114.51,119.89,116.42,112.01,105.74,131.43,117.77,,,,
2011,132.3,123.47,123.7,117.56,117.78,119.84,119.5,117.09,133.51,123.73,140.63,146.64,126.63,,,,
2012,147.88,159.93,177.53,158.24,171.35,178.16,185.14,160.94,134.01,150.39,139.04,165.46,160.83,,,,
2013,152.14,150.79,152.13,163.33,151.04,158.13,155.29,154.19,136.88,155.8,145.05,149.9,152.1,,,,
2014,143.16,153.63,163.4,151.09,144.61,136.35,142.72,128.6,131.44,132.22,133.78,144.1,142.26,,,,
2015,140.76,121.33,118.35,103.72,96.62,84.54,81.99,88.59,90.98,98.34,94.93,95.46,101.76,,,,
2016,90.77,87.62,87.31,75.38,68.78,65.31,67.06,71.73,71.55,73.48,75.04,86.93,77.06,,,,
2017,86.31,91.07,92.06,75.35,79.14,82.71,76.79,76.4,73.21,72.84,81.48,90.77,81.77,,,,
2018,92.23,90.75,101.47,90.91,87.64,89.79,87.27,91.02,92.87,102.36,105.11,109.95,95.16,,,,
2019,111.28,105.85,112.42,99.44,79.65,78.54,79.76,84.83,79.64,88.21,81.83,84.18,90.74,,,,
2020,84.54,81.91,83.35,75.38,70.91,70.92,71.25,63.01,55.94,50.39,49.8,67.14,68.87,,,,
2021,70.65,75.44,84.22,76.35,79.1,83.11,87.54,94.07,98.77,107.76,127.06,142.81,94.34,,,,
2022,154.42,197.32,192.75,202.11,140.34,129.72,151.85,197.74,233.42,251.65,242.19,267.63,196.65,,,,
2023,240.81,253.56,215.9,164.86,143.64,147.13,153.52,147.22,141.19,137.01,120.85,131.12,167.11,,,,
2024,138.06,119.53,134.47,126.09,126.36,125.99,132.49,145.86,138.85,117.24,112.22,116.6,128.39,,,,
2024.1H,116.71,102.73,130.62,116.35,116.77,116.93,122.25,140.16,131.41,99.36,105.17,98.95,116.82,,,,
2H,96.92,88.59,114.02,107.5,107.97,103.68,103.83,129.13,116.74,93.25,91.04,87.53,103.54,,,,
3H,93.13,84.93,105.91,100.3,103.71,99.18,99.9,122.8,114.44,91.49,87.6,85.32,99.23,,,,
4H,92.35,82.89,103.88,96.78,97.63,94.84,98.08,119.14,112.24,89.02,85.88,83.75,96.56,,,,
5H,92.87,83.77,107.65,99.77,101.9,95.74,98.34,117.89,112.26,91.07,87.54,84.41,97.87,,,,
6H,93.84,88.11,116.93,108.74,109.19,96.27,99.18,122.43,113.39,94.5,95.25,88.89,102.25,,,,
7H,105.13,96.2,131.55,118.61,112.34,102.51,110.28,127.5,121.24,99.78,105.41,96.46,110.66,,,,
8H,132.73,112,138.53,126.01,115.36,113.68,126.12,142.25,133.91,107.8,111.53,113.67,123.28,,,,
9H,154.91,140.34,144.95,137.31,125.94,127.24,135.65,144.52,138.79,127.04,124.67,134.75,137.01,,,,
10H,178.75,152.9,151.87,140.81,133.08,133.68,143.19,149.32,147.79,132.03,129.04,145.92,145.9,,,,
11H,164.81,144.84,143.9,135.11,134.08,139.54,143.51,152.9,147.33,132.9,130.18,142.24,143.51,,,,
12H,159.23,140.64,139.66,128.11,131.71,137.98,146.11,155.32,147.18,132.39,125.74,137.45,141.24,,,,
13H,148.98,123.95,128.16,119.18,131.89,134.83,141.34,153.74,145.67,124.65,110.4,125.69,133.68,,,,
14H,152.78,133.26,131.87,126.53,130.7,138.78,146.04,162.95,148.7,128.96,118.38,128.5,138.65,,,,
15H,154.25,136.47,134,129.14,136.61,144.5,150.2,162.2,150.01,131.51,121.8,129.9,141.24,,,,
16H,157.07,133.6,136.21,132.03,134.17,139.59,149.45,164.69,155.71,132.05,122.03,133.19,142.05,,,,
17H,154.8,133.94,134.81,130.16,138.11,141.89,145.93,156.5,151.09,131.55,126.1,130.66,140.48,,,,
18H,154.3,131.25,138.87,133.75,136.27,138.12,142.63,153.54,149.98,130.66,124.55,129.33,139.3,,,,
19H,155.09,133.02,147.65,138.04,137.28,135.46,141.28,152.92,149.74,132.01,122.16,127.03,139.88,,,,
20H,152.84,128.26,147.08,140.83,140.49,135.52,141.35,152,148.81,129.01,117.18,124.31,138.73,,,,
21H,148.18,121.45,147.39,140,138.62,135.91,142.15,148.25,146.43,123.46,112.43,119.39,135.91,,,,
22H,138.57,117.6,145.46,136.18,136.42,132.71,138.5,146.92,143.49,116.59,108.24,110.5,131.49,,,,
23H,132.54,113.32,143.57,136,133.47,128.7,135.57,143.8,140.82,112.2,105.75,106.82,128.12,,,,
24H,137.23,114.73,144.88,130.51,130.69,123.41,130.92,141.43,132.69,105.15,106.12,103.39,125.48,,,,
"1) 계통한계가격(SMP)은 2009년까지는 육지와 제주를 구분하지 않고 산정, 2010년 이후부터 육지와 제주를 구분하여 산정하였으며, 2010년 이후 통합SMP는 육지와 제주SMP를 해당 지역의 전력수요예측량으로 가중평균한 값임",,,,,,,,,,,,,,,,,
6-2. 회원사별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Members,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,"[단위 : 횟수, %]",
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,,
2001,6,0.1,928,14.1,828,12.6,1634,24.8,565,8.6,1063,16.2,1552,23.6,6576,,
2002,11,0.1,1021,11.7,927,10.6,2233,25.5,762,8.7,1732,19.8,2074,23.7,8760,,
2003,20,0.2,1055,12,1298,14.8,1779,20.3,1437,16.4,1103,12.6,2068,23.6,8760,,
2004,1,0.0,1176,13.4,927,10.6,1571,17.9,1471,16.7,1358,15.5,2280,26,8784,,
2005,-,-,669,7.6,1569,17.9,1894,21.6,2033,23.2,1076,12.3,1519,17.3,8760,,
2006,1,0.0,788,9,2214,25.3,1150,13.1,1531,17.5,916,10.5,2160,24.7,8760,,
2007,-,-,582,6.6,1803,20.6,1690,19.3,1429,16.3,858,9.8,2398,27.4,8760,,
2008,-,-,512,5.8,1095,12.5,1205,13.7,1025,11.7,1591,18.1,3356,38.2,8784,,
2009,-,-,443,5.1,821,9.4,1563,17.8,1495,17.1,2225,25.4,2213,25.3,8760,,
2010,-,-,770,8.8,1296,14.8,1830,20.9,1075,12.3,1527,17.4,2262,25.8,8760,,
2011,-,-,572,6.5,1171,13.4,1793,20.5,1207,13.8,1456,16.6,2561,29.2,8760,,
2012,-,-,525,6,1425,16.2,2025,23.1,850,9.7,1224,13.9,2735,31.1,8784,,
