col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
3. REC시장 통계,,,,,,,,,,,,,,
Statistics of REC Trading Market,,,,,,,,,,,,,,
3-1. REC 거래회원사,,,,,,,,,,,,,,
구분,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,(단위 : 개)
태양광,2322,5900,12370,16776,21205,29176,45277,68621,91102,110062,126823,145799,164831,
비태양광,38,57,88,114,,,,,,,,,,
합계,2360,5957,12458,16890,21205,29176,45277,68621,91102,110062,126823,145799,164831,
3-2. 시장별 REC 거래량,,,,,,,,,,,,,,
구분,현물시장,,계약시장,,합계,[단위 : REC],,,,,,,,
,태양광,비태양광,태양광,비태양광,,,,,,,,,,
2013년,113858,408523,369936,525638,1417955,,,,,,,,,
2014년,182495,346270,992491,1268512,2789768,,,,,,,,,
2015년,1304860,627452,1674940,2198589,5805841,,,,,,,,,
2016년,2623819,,4843135,,7466954,,,,,,,,,
2017년,2572137,,7767266,,10339403,,,,,,,,,
2018년,6288524,,8987268,,15275792,,,,,,,,,
2019년,7191767,,12399619,,19591386,,,,,,,,,
2020년,8921364,,20205113,,29126477,,,,,,,,,
2021년,10187788,,30559757,,40747545,,,,,,,,,
2022년,13743408,,43607201,,57350609,,,,,,,,,
2023년,14460720,,49162326,,63623046,,,,,,,,,
2024년,13721359,,55638165,,69359524,,,,,,,,,
2025년,18795073,,50153688,,68948761,,,,,,,,,
1) 현물시장은 공급인증서의 수요와 공급에 의해 매매가 체결되는 시장을 의미함,,,,,,,,,,,,,,
2) 계약시장은 공급인증서 매매계약을 체결한 후 계약당사자가 계약 사실을 신고하고 계약 내용에 따라 매매가 이루어지는 시장을 의미함,,,,,,,,,,,,,,
3) 2016년부터 태양광 및 비태양광을 구분하지 않음,,,,,,,,,,,,,,
3-3. REC 현물시장 평균 거래가격,,,,,,,,,,,,,,
구분,,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,[단위 : 원/REC]
2013,태양광,157806,160587,156444,158770,156217,158902,158638,164560,185829,220152,220554,207587,
,비태양광,67349,82365,98374,119419,120937,116753,125641,131106,147824,179851,223026,241480,
2014,태양광,195571,167773,-,129000,115782,117367,116366,108119,98275,91976,90048,89054,
,비태양광,228303,186517,120667,95000,86009,81475,80601,81325,86409,85355,87086,88448,
2015,태양광,88962,90486,89001,93197,89525,92132,92894,92645,92446,91061,93228,95839,
,비태양광,89242,94419,89833,95071,95299,96341,98389,96986,93334,94098,68251,96565,
2016,태양광,111005,162421,99995,105856,122320,119088,128028,139908,149907,169074,147567,167272,
,비태양광,98805,150796,,,,,,,,,,,
2017년,통합,159698,145963,130800,124766,131175,130234,127113,127046,127175,127726,123483,102386,
2018년,통합,112166,110081,101015,108580,109599,107917,,96327,91329,80482,75067,78378,
2019년,통합,74231,73641,74395,69034,69749,68920,63309,58264,57043,50608,47816,48409,
2020년,통합,43554,41061,42490,44324,44460,44264,44545,46235,45659,40669.42165356589,34121.2644135844,34813.828936327875,
2021년,통합,39031,40195,36017,33843,31526,31584,29542,29913,31512,35215,38846,38779,
2022년,통합,46211,56036,47520,52852,52971,54492,55606,62161,63293,63614,63801,64292,
2023년,통합,61081,62514,67866,72130,72131,72938,73218,75300,80732,80424,78900,75625,
2024년,통합,77939,79323,79058,75584,74466,74923,75817,78745,79282,76866,75010,67159,
2025년,통합,69760,72160,72145,72405,72385,71958,71649,71859,71972,72312,72144,72294,
1) 2016년 3월부터 태양광 및 비태양광을 구분하지 않음,,,,,,,,,,,,,,
